Time[sec]	 X[micron]	 Y[micron]
   0.000	   94.6709	   60.7128
   0.002	   94.6543	   60.6773
   0.004	   94.6643	   60.6291
   0.006	   94.6782	   60.6190
   0.008	   94.6958	   60.5956
   0.010	   94.7084	   60.5492
   0.012	   94.6804	   60.5729
   0.014	   94.7043	   60.6031
   0.016	   94.6985	   60.6524
   0.018	   94.6958	   60.6393
   0.020	   94.7204	   60.6399
   0.022	   94.7021	   60.5908
   0.024	   94.6798	   60.5992
   0.026	   94.7265	   60.5830
   0.028	   94.7355	   60.5628
   0.030	   94.7412	   60.5589
   0.032	   94.7510	   60.5468
   0.034	   94.7465	   60.5996
   0.036	   94.7566	   60.6243
   0.038	   94.7425	   60.6081
   0.040	   94.7368	   60.5810
   0.042	   94.7532	   60.5263
   0.044	   94.7416	   60.5312
   0.046	   94.7877	   60.5267
   0.048	   94.7962	   60.5169
   0.050	   94.7936	   60.5427
   0.052	   94.7963	   60.5916
   0.054	   94.8103	   60.5996
   0.056	   94.8050	   60.6209
   0.058	   94.8190	   60.5779
   0.060	   94.8208	   60.5427
   0.062	   94.8299	   60.5143
   0.064	   94.8280	   60.5158
   0.066	   94.8363	   60.5282
   0.068	   94.8614	   60.5481
   0.070	   94.8325	   60.5676
   0.072	   94.8407	   60.5866
   0.074	   94.8378	   60.5886
   0.076	   94.8490	   60.5606
   0.078	   94.8579	   60.5546
   0.080	   94.8571	   60.5397
   0.082	   94.8781	   60.5367
   0.084	   94.8849	   60.5287
   0.086	   94.8669	   60.4936
   0.088	   94.9330	   60.5390
   0.090	   94.8702	   60.5432
   0.092	   94.8793	   60.5489
   0.094	   94.8784	   60.5435
   0.096	   94.8838	   60.5218
   0.098	   94.8768	   60.5307
   0.100	   94.8986	   60.5341
   0.102	   94.9404	   60.5380
   0.104	   94.9235	   60.5122
   0.106	   94.9579	   60.5150
   0.108	   94.9441	   60.5119
   0.110	   94.9484	   60.5947
   0.112	   94.9482	   60.5888
   0.114	   94.9487	   60.5898
   0.116	   94.9596	   60.5249
   0.118	   94.9487	   60.5332
   0.120	   94.9574	   60.5245
   0.122	   95.0016	   60.5315
   0.124	   95.0047	   60.5064
   0.126	   94.9991	   60.5146
   0.128	   94.9760	   60.5175
   0.130	   94.9986	   60.5833
   0.132	   95.0178	   60.5637
   0.134	   95.0211	   60.5409
   0.136	   94.9980	   60.5056
   0.138	   94.9892	   60.5051
   0.140	   95.0291	   60.5016
   0.142	   95.0605	   60.5079
   0.144	   95.0741	   60.4950
   0.146	   95.0671	   60.4979
   0.148	   95.0380	   60.4965
   0.150	   95.0515	   60.5746
   0.152	   95.0733	   60.5335
   0.154	   95.0838	   60.5360
   0.156	   95.0718	   60.5181
   0.158	   95.0816	   60.5438
   0.160	   95.1032	   60.5290
   0.162	   95.1264	   60.5438
   0.164	   95.1246	   60.5454
   0.166	   95.1380	   60.5492
   0.168	   95.1045	   60.5483
   0.170	   95.1232	   60.5763
   0.172	   95.1374	   60.5841
   0.174	   95.1485	   60.5659
   0.176	   95.1240	   60.5578
   0.178	   95.1095	   60.5569
   0.180	   95.1585	   60.5781
   0.182	   95.2053	   60.5617
   0.184	   95.2107	   60.5900
   0.186	   95.1906	   60.6070
   0.188	   95.1786	   60.5903
   0.190	   95.1982	   60.5756
   0.192	   95.1958	   60.5767
   0.194	   95.2011	   60.5799
   0.196	   95.2054	   60.5852
   0.198	   95.2146	   60.5865
   0.200	   95.2323	   60.5843
   0.202	   95.2662	   60.6098
   0.204	   95.2863	   60.6012
   0.206	   95.2600	   60.6144
   0.208	   95.2270	   60.5760
   0.210	   95.2482	   60.5824
   0.212	   95.2787	   60.5752
   0.214	   95.2533	   60.5865
   0.216	   95.2777	   60.6404
   0.218	   95.2658	   60.6619
   0.220	   95.2742	   60.6478
   0.222	   95.3235	   60.6243
   0.224	   95.3394	   60.5985
   0.226	   95.3490	   60.5704
   0.228	   95.2776	   60.5511
   0.230	   95.2750	   60.4819
   0.232	   95.2684	   60.5003
   0.234	   95.3044	   60.5145
   0.236	   95.3022	   60.5691
   0.238	   95.3153	   60.5873
   0.240	   95.3266	   60.5851
   0.242	   95.3486	   60.5885
   0.244	   95.3470	   60.5541
   0.246	   95.3863	   60.5089
   0.248	   95.3039	   60.4839
   0.250	   95.3320	   60.4543
   0.252	   95.3394	   60.4959
   0.254	   95.3567	   60.5577
   0.256	   95.3693	   60.6106
   0.258	   95.3855	   60.6080
   0.260	   95.3968	   60.5497
   0.262	   95.3679	   60.4888
   0.264	   95.3578	   60.4447
   0.266	   95.3372	   60.4134
   0.268	   95.3630	   60.4649
   0.270	   95.3826	   60.4970
   0.272	   95.4216	   60.5452
   0.274	   95.4091	   60.5756
   0.276	   95.4187	   60.5449
   0.278	   95.4218	   60.5052
   0.280	   95.3947	   60.4752
   0.282	   95.3668	   60.4228
   0.284	   95.3363	   60.4108
   0.286	   95.3956	   60.4426
   0.288	   95.4354	   60.4804
   0.290	   95.4524	   60.4990
   0.292	   95.4661	   60.5164
   0.294	   95.4373	   60.5256
   0.296	   95.4201	   60.4888
   0.298	   95.4264	   60.4639
   0.300	   95.4613	   60.4573
   0.302	   95.4361	   60.4458
   0.304	   95.4755	   60.4614
   0.306	   95.4906	   60.5104
   0.308	   95.5069	   60.5060
   0.310	   95.4892	   60.5062
   0.312	   95.4668	   60.5286
   0.314	   95.4765	   60.4803
   0.316	   95.4756	   60.4566
   0.318	   95.4963	   60.4549
   0.320	   95.5225	   60.4646
   0.322	   95.5101	   60.4558
   0.324	   95.5369	   60.4763
   0.326	   95.5486	   60.5234
   0.328	   95.5555	   60.5060
   0.330	   95.5356	   60.5211
   0.332	   95.5287	   60.4763
   0.334	   95.5360	   60.4478
   0.336	   95.5513	   60.4642
   0.338	   95.5786	   60.4711
   0.340	   95.5709	   60.4691
   0.342	   95.5989	   60.4845
   0.344	   95.5865	   60.5118
   0.346	   95.5860	   60.4876
   0.348	   95.5980	   60.5295
   0.350	   95.6003	   60.5013
   0.352	   95.5930	   60.4833
   0.354	   95.6055	   60.4851
   0.356	   95.6302	   60.4839
   0.358	   95.6475	   60.4790
   0.360	   95.6894	   60.4824
   0.362	   95.6729	   60.4684
   0.364	   95.6399	   60.5341
   0.366	   95.6679	   60.5110
   0.368	   95.6819	   60.5230
   0.370	   95.6752	   60.4980
   0.372	   95.6780	   60.4797
   0.374	   95.6865	   60.4704
   0.376	   95.6979	   60.4828
   0.378	   95.7114	   60.5136
   0.380	   95.7436	   60.5080
   0.382	   95.7491	   60.4988
   0.384	   95.7324	   60.5156
   0.386	   95.7181	   60.5247
   0.388	   95.7448	   60.5286
   0.390	   95.7444	   60.5222
   0.392	   95.7603	   60.4955
   0.394	   95.7622	   60.4688
   0.396	   95.7717	   60.4626
   0.398	   95.8066	   60.4648
   0.400	   95.8229	   60.4614
   0.402	   95.8362	   60.4694
   0.404	   95.7871	   60.5295
   0.406	   95.7874	   60.5273
   0.408	   95.7745	   60.5197
   0.410	   95.8024	   60.4897
   0.412	   95.8004	   60.4613
   0.414	   95.8011	   60.4411
   0.416	   95.8211	   60.4295
   0.418	   95.8414	   60.4468
   0.420	   95.8587	   60.4510
   0.422	   95.8610	   60.4734
   0.424	   95.8289	   60.5099
   0.426	   95.8475	   60.5086
   0.428	   95.8574	   60.5312
   0.430	   95.8614	   60.4804
   0.432	   95.8673	   60.4581
   0.434	   95.8864	   60.4739
   0.436	   95.9057	   60.4402
   0.438	   95.9091	   60.4431
   0.440	   95.9168	   60.4489
   0.442	   95.9078	   60.4759
   0.444	   95.8976	   60.5070
   0.446	   95.8928	   60.5055
   0.448	   95.8986	   60.4957
   0.450	   95.8908	   60.4654
   0.452	   95.9226	   60.4759
   0.454	   95.9384	   60.4945
   0.456	   95.9397	   60.4822
   0.458	   95.9581	   60.4742
   0.460	   95.9487	   60.5121
   0.462	   95.9525	   60.5388
   0.464	   95.9536	   60.5309
   0.466	   95.9535	   60.5118
   0.468	   95.9571	   60.4698
   0.470	   95.9633	   60.4617
   0.472	   95.9860	   60.4488
   0.474	   96.0210	   60.4582
   0.476	   96.0152	   60.4423
   0.478	   95.9969	   60.4294
   0.480	   95.9908	   60.4816
   0.482	   96.0023	   60.4950
   0.484	   95.9879	   60.5113
   0.486	   96.0033	   60.4645
   0.488	   96.0116	   60.4289
   0.490	   96.0144	   60.4048
   0.492	   96.0261	   60.4304
   0.494	   96.0564	   60.4338
   0.496	   96.0704	   60.4303
   0.498	   96.0562	   60.4263
   0.500	   96.0368	   60.4573
   0.502	   96.0502	   60.4670
