Time[sec]	 X[micron]	 Y[micron]
   0.000	   84.5770	   71.9294
   0.002	   84.5691	   71.9242
   0.004	   84.5370	   71.9138
   0.006	   84.5660	   71.9086
   0.008	   84.5544	   71.9147
   0.010	   84.5568	   71.9140
   0.012	   84.5488	   71.8968
   0.014	   84.5477	   71.8993
   0.016	   84.5370	   71.9180
   0.018	   84.5606	   71.9139
   0.020	   84.5423	   71.9029
   0.022	   84.5010	   71.9039
   0.024	   84.5238	   71.8804
   0.026	   84.5161	   71.9279
   0.028	   84.5301	   71.9284
   0.030	   84.5229	   71.9265
   0.032	   84.4966	   71.9022
   0.034	   84.4974	   71.9079
   0.036	   84.5042	   71.8995
   0.038	   84.5057	   71.9122
   0.040	   84.4959	   71.8940
   0.042	   84.4883	   71.8873
   0.044	   84.4784	   71.9025
   0.046	   84.4938	   71.9096
   0.048	   84.4924	   71.9303
   0.050	   84.4736	   71.9096
   0.052	   84.4552	   71.9001
   0.054	   84.4767	   71.8894
   0.056	   84.4734	   71.9060
   0.058	   84.4815	   71.8862
   0.060	   84.4569	   71.8761
   0.062	   84.4644	   71.8728
   0.064	   84.4496	   71.8863
   0.066	   84.4494	   71.9070
   0.068	   84.4407	   71.8944
   0.070	   84.4195	   71.8818
   0.072	   84.4102	   71.8949
   0.074	   84.4253	   71.8736
   0.076	   84.4393	   71.8611
   0.078	   84.4171	   71.8797
   0.080	   84.4249	   71.8715
   0.082	   84.4374	   71.8719
   0.084	   84.4237	   71.8962
   0.086	   84.4159	   71.8958
   0.088	   84.3730	   71.8582
   0.090	   84.3739	   71.8572
   0.092	   84.3650	   71.8746
   0.094	   84.3839	   71.8616
   0.096	   84.3823	   71.8350
   0.098	   84.3983	   71.8398
   0.100	   84.4092	   71.8652
   0.102	   84.4001	   71.8843
   0.104	   84.3827	   71.8759
   0.106	   84.3679	   71.8716
   0.108	   84.3277	   71.8438
   0.110	   84.3285	   71.8409
   0.112	   84.3529	   71.8651
   0.114	   84.3540	   71.8474
   0.116	   84.3563	   71.8428
   0.118	   84.3536	   71.8524
   0.120	   84.3629	   71.8730
   0.122	   84.3539	   71.8631
   0.124	   84.3491	   71.8573
   0.126	   84.3181	   71.8554
   0.128	   84.3060	   71.8682
   0.130	   84.3108	   71.8616
   0.132	   84.3207	   71.8366
   0.134	   84.3205	   71.8291
   0.136	   84.3224	   71.8430
   0.138	   84.3307	   71.8626
   0.140	   84.3257	   71.8707
   0.142	   84.3093	   71.8434
   0.144	   84.2705	   71.8369
   0.146	   84.2645	   71.8527
   0.148	   84.2577	   71.8529
   0.150	   84.2766	   71.8336
   0.152	   84.2819	   71.8336
   0.154	   84.2687	   71.8341
   0.156	   84.2702	   71.8562
   0.158	   84.2783	   71.8682
   0.160	   84.2508	   71.8733
   0.162	   84.2414	   71.8492
   0.164	   84.2120	   71.8367
   0.166	   84.2345	   71.8563
   0.168	   84.2273	   71.8427
   0.170	   84.2374	   71.8406
   0.172	   84.2409	   71.8378
   0.174	   84.2505	   71.8512
   0.176	   84.2221	   71.8587
   0.178	   84.2230	   71.8433
   0.180	   84.2209	   71.8547
   0.182	   84.2113	   71.8379
   0.184	   84.2092	   71.8397
   0.186	   84.2314	   71.8289
   0.188	   84.2147	   71.8450
   0.190	   84.2051	   71.8379
   0.192	   84.2056	   71.8342
   0.194	   84.2106	   71.8592
   0.196	   84.1956	   71.8121
   0.198	   84.1888	   71.8113
   0.200	   84.1754	   71.8052
