Time[sec]	 X[micron]	 Y[micron]
   0.000	   88.5931	   61.2512
   0.002	   88.5736	   61.2645
   0.004	   88.5400	   61.2445
   0.006	   88.4963	   61.2486
   0.008	   88.5107	   61.2997
   0.010	   88.5267	   61.2781
   0.012	   88.5618	   61.2277
   0.014	   88.6234	   61.2036
   0.016	   88.6504	   61.2453
   0.018	   88.6295	   61.2869
   0.020	   88.6442	   61.3047
   0.022	   88.6728	   61.2892
   0.024	   88.6556	   61.2993
   0.026	   88.6116	   61.3346
   0.028	   88.6210	   61.3581
   0.030	   88.6076	   61.3253
   0.032	   88.6276	   61.2987
   0.034	   88.6639	   61.2728
   0.036	   88.6624	   61.2863
   0.038	   88.7004	   61.3376
   0.040	   88.7263	   61.3580
   0.042	   88.7599	   61.3536
   0.044	   88.7409	   61.3560
   0.046	   88.7640	   61.3810
   0.048	   88.7172	   61.3986
   0.050	   88.7659	   61.4073
   0.052	   88.7883	   61.3912
   0.054	   88.7378	   61.3559
   0.056	   88.7321	   61.3723
   0.058	   88.7393	   61.3663
   0.060	   88.7741	   61.3604
   0.062	   88.8105	   61.3852
   0.064	   88.8389	   61.4188
   0.066	   88.8353	   61.4423
   0.068	   88.8179	   61.4438
   0.070	   88.8124	   61.4341
   0.072	   88.8169	   61.4472
   0.074	   88.7955	   61.4758
   0.076	   88.8228	   61.4880
   0.078	   88.8062	   61.4813
   0.080	   88.8272	   61.4353
   0.082	   88.8808	   61.4024
   0.084	   88.8979	   61.4239
   0.086	   88.8623	   61.4768
   0.088	   88.8836	   61.5096
   0.090	   88.9090	   61.5013
   0.092	   88.9212	   61.4898
   0.094	   88.8765	   61.5270
   0.096	   88.8452	   61.5552
   0.098	   88.8649	   61.5492
   0.100	   88.9023	   61.5355
   0.102	   88.9017	   61.4975
   0.104	   88.9380	   61.4988
   0.106	   88.9391	   61.5198
   0.108	   88.9710	   61.5370
   0.110	   89.0071	   61.5445
   0.112	   89.0090	   61.5392
   0.114	   88.9820	   61.5756
   0.116	   88.9250	   61.6106
   0.118	   88.9644	   61.5862
   0.120	   88.9744	   61.5493
   0.122	   88.9735	   61.5473
   0.124	   88.9974	   61.5459
   0.126	   88.9954	   61.5677
   0.128	   89.0303	   61.5751
   0.130	   89.0768	   61.5680
   0.132	   89.0781	   61.5711
   0.134	   89.0659	   61.6023
   0.136	   89.0260	   61.6460
   0.138	   89.0280	   61.6417
   0.140	   89.0722	   61.6221
   0.142	   89.0710	   61.6130
   0.144	   89.0405	   61.6197
   0.146	   89.0725	   61.6170
   0.148	   89.1206	   61.6101
   0.150	   89.1437	   61.6102
   0.152	   89.1587	   61.6346
   0.154	   89.1413	   61.6520
   0.156	   89.1232	   61.6719
   0.158	   89.1279	   61.6505
   0.160	   89.1480	   61.6611
   0.162	   89.1784	   61.6861
   0.164	   89.1428	   61.6915
   0.166	   89.1407	   61.6772
   0.168	   89.1558	   61.6312
   0.170	   89.1873	   61.6354
   0.172	   89.1884	   61.6751
   0.174	   89.1868	   61.7054
   0.176	   89.2269	   61.7147
   0.178	   89.2537	   61.6851
   0.180	   89.2446	   61.6704
   0.182	   89.2279	   61.7007
   0.184	   89.2491	   61.7413
   0.186	   89.2852	   61.7246
   0.188	   89.2866	   61.6889
   0.190	   89.2774	   61.6718
