Time[sec]	 X[micron]	 Y[micron]
   0.000	   90.3211	   80.8151
   0.002	   90.2906	   80.8182
   0.004	   90.2970	   80.8265
   0.006	   90.3190	   80.8511
   0.008	   90.3414	   80.8665
   0.010	   90.3782	   80.8703
   0.012	   90.4233	   80.8607
   0.014	   90.4558	   80.8223
   0.016	   90.4681	   80.8038
   0.018	   90.4459	   80.8041
   0.020	   90.4001	   80.8186
   0.022	   90.4022	   80.8540
   0.024	   90.4309	   80.8547
   0.026	   90.4795	   80.8492
   0.028	   90.5130	   80.8486
   0.030	   90.5362	   80.8402
   0.032	   90.5460	   80.8205
   0.034	   90.5654	   80.7966
   0.036	   90.5477	   80.7828
   0.038	   90.5191	   80.8091
   0.040	   90.5092	   80.8668
   0.042	   90.5397	   80.8712
   0.044	   90.5982	   80.8417
   0.046	   90.6610	   80.8074
   0.048	   90.6668	   80.8033
   0.050	   90.6588	   80.8025
   0.052	   90.6597	   80.7754
   0.054	   90.6524	   80.7740
   0.056	   90.6398	   80.8030
   0.058	   90.6371	   80.8513
   0.060	   90.6632	   80.8658
   0.062	   90.7299	   80.8227
   0.064	   90.7779	   80.7722
   0.066	   90.7941	   80.7706
   0.068	   90.7808	   80.7808
   0.070	   90.7601	   80.7908
   0.072	   90.7427	   80.7916
   0.074	   90.7478	   80.8077
   0.076	   90.7608	   80.8235
   0.078	   90.7963	   80.8371
   0.080	   90.8463	   80.8198
   0.082	   90.8887	   80.7881
   0.084	   90.9107	   80.7426
   0.086	   90.8939	   80.7414
   0.088	   90.8411	   80.7585
   0.090	   90.8235	   80.7977
   0.092	   90.8468	   80.8259
   0.094	   90.8889	   80.8211
   0.096	   90.9346	   80.7959
   0.098	   90.9623	   80.7911
   0.100	   90.9807	   80.7686
   0.102	   90.9968	   80.7330
   0.104	   91.0003	   80.7243
   0.106	   90.9773	   80.7409
   0.108	   90.9546	   80.7898
   0.110	   90.9903	   80.8119
   0.112	   91.0343	   80.7834
   0.114	   91.0842	   80.7571
   0.116	   91.0894	   80.7372
   0.118	   91.0810	   80.7204
   0.120	   91.0764	   80.7023
   0.122	   91.0685	   80.6960
   0.124	   91.0609	   80.7361
   0.126	   91.0773	   80.7873
   0.128	   91.1146	   80.7774
   0.130	   91.1732	   80.7444
   0.132	   91.2326	   80.6991
   0.134	   91.2302	   80.6850
   0.136	   91.2083	   80.7055
   0.138	   91.1811	   80.7057
   0.140	   91.1675	   80.6975
   0.142	   91.1794	   80.7188
   0.144	   91.2135	   80.7360
   0.146	   91.2482	   80.7355
   0.148	   91.3127	   80.7100
   0.150	   91.3682	   80.6785
   0.152	   91.3756	   80.6461
   0.154	   91.3542	   80.6615
   0.156	   91.3324	   80.6725
   0.158	   91.3105	   80.6801
   0.160	   91.3118	   80.6853
   0.162	   91.3333	   80.6992
   0.164	   91.3683	   80.7079
   0.166	   91.3945	   80.6977
   0.168	   91.4306	   80.6650
   0.170	   91.4659	   80.6227
   0.172	   91.4703	   80.6073
   0.174	   91.4462	   80.6247
   0.176	   91.3982	   80.6314
   0.178	   91.3935	   80.6383
   0.180	   91.4182	   80.6602
   0.182	   91.4420	   80.6776
   0.184	   91.4724	   80.6665
   0.186	   91.5347	   80.6559
   0.188	   91.5861	   80.6001
   0.190	   91.6101	   80.5688
   0.192	   91.5936	   80.5726
   0.194	   91.5398	   80.6003
   0.196	   91.5188	   80.6371
   0.198	   91.5386	   80.6517
   0.200	   91.5829	   80.6255
   0.202	   91.6306	   80.6029
   0.204	   91.6884	   80.5998
   0.206	   91.7157	   80.5886
   0.208	   91.7319	   80.5589
   0.210	   91.7195	   80.5411
   0.212	   91.6817	   80.5379
   0.214	   91.6574	   80.5766
   0.216	   91.6551	   80.6068
   0.218	   91.6810	   80.6027
   0.220	   91.7557	   80.5648
   0.222	   91.8214	   80.5324
   0.224	   91.8659	   80.5095
   0.226	   91.8637	   80.5024
   0.228	   91.8519	   80.5001
   0.230	   91.8319	   80.4937
   0.232	   91.8097	   80.5120
   0.234	   91.7898	   80.5670
   0.236	   91.8149	   80.5626
   0.238	   91.8812	   80.5096
   0.240	   91.9420	   80.4712
   0.242	   91.9777	   80.4697
   0.244	   91.9811	   80.4740
   0.246	   91.9665	   80.4702
   0.248	   91.9530	   80.4634
   0.250	   91.9400	   80.4592
   0.252	   91.9078	   80.4753
   0.254	   91.8975	   80.4982
   0.256	   91.9448	   80.4766
   0.258	   92.0308	   80.4404
   0.260	   92.1036	   80.3973
   0.262	   92.1275	   80.4051
   0.264	   92.1262	   80.4120
   0.266	   92.1100	   80.4087
   0.268	   92.1021	   80.4054
   0.270	   92.0858	   80.4120
   0.272	   92.0630	   80.4244
   0.274	   92.0569	   80.4222
   0.276	   92.1074	   80.3938
   0.278	   92.2016	   80.3543
   0.280	   92.2502	   80.3572
   0.282	   92.2713	   80.3682
   0.284	   92.2582	   80.3741
   0.286	   92.2617	   80.3503
   0.288	   92.2413	   80.3491
   0.290	   92.2223	   80.3701
   0.292	   92.1929	   80.3962
   0.294	   92.1810	   80.4170
   0.296	   92.1987	   80.4117
   0.298	   92.2655	   80.3599
   0.300	   92.3177	   80.3350
   0.302	   92.3676	   80.3352
   0.304	   92.3890	   80.3274
   0.306	   92.4066	   80.2946
   0.308	   92.3911	   80.2810
   0.310	   92.3489	   80.2919
   0.312	   92.3282	   80.3114
   0.314	   92.3385	   80.3423
   0.316	   92.3742	   80.3232
   0.318	   92.4294	   80.2873
   0.320	   92.4926	   80.2647
   0.322	   92.5215	   80.2421
   0.324	   92.5343	   80.2320
   0.326	   92.5258	   80.2307
   0.328	   92.4915	   80.2493
   0.330	   92.4656	   80.2554
   0.332	   92.4469	   80.2709
   0.334	   92.4641	   80.2630
   0.336	   92.5073	   80.2512
   0.338	   92.5661	   80.2159
   0.340	   92.6298	   80.2035
   0.342	   92.6744	   80.1826
   0.344	   92.6716	   80.1686
   0.346	   92.6406	   80.1662
   0.348	   92.6081	   80.1852
   0.350	   92.5682	   80.2174
   0.352	   92.5716	   80.2293
   0.354	   92.6136	   80.1913
   0.356	   92.7079	   80.1401
   0.358	   92.7591	   80.1142
   0.360	   92.7870	   80.1112
   0.362	   92.7828	   80.1238
   0.364	   92.7618	   80.1299
   0.366	   92.7486	   80.1235
   0.368	   92.7219	   80.1365
   0.370	   92.7129	   80.1532
   0.372	   92.7488	   80.1352
   0.374	   92.8206	   80.0947
   0.376	   92.8951	   80.0466
   0.378	   92.9368	   80.0399
   0.380	   92.9189	   80.0558
   0.382	   92.8857	   80.0789
   0.384	   92.8753	   80.0813
   0.386	   92.8442	   80.0976
   0.388	   92.8153	   80.0805
   0.390	   92.8224	   80.0594
   0.392	   92.8761	   80.0445
   0.394	   92.9578	   80.0252
   0.396	   93.0163	   80.0115
   0.398	   93.0140	   80.0429
   0.400	   93.0058	   80.0660
   0.402	   92.9786	   80.0785
   0.404	   92.9550	   80.0575
   0.406	   92.9590	   80.0232
   0.408	   92.9604	   80.0098
   0.410	   92.9928	   80.0145
   0.412	   93.0458	   80.0166
   0.414	   93.0701	   80.0179
   0.416	   93.0814	   80.0437
   0.418	   93.0777	   80.0560
   0.420	   93.0610	   80.0428
   0.422	   93.0659	   79.9969
   0.424	   93.0904	   79.9555
   0.426	   93.0996	   79.9338
   0.428	   93.0900	   79.9831
   0.430	   93.0918	   80.0002
   0.432	   93.1269	   80.0137
   0.434	   93.1642	   79.9879
   0.436	   93.1777	   79.9635
   0.438	   93.1923	   79.9420
   0.440	   93.1925	   79.9234
   0.442	   93.2169	   79.8933
   0.444	   93.1937	   79.8946
   0.446	   93.1479	   79.9053
   0.448	   93.1364	   79.9541
   0.450	   93.1661	   79.9778
   0.452	   93.2121	   79.9433
   0.454	   93.2783	   79.8910
   0.456	   93.3091	   79.8516
   0.458	   93.3109	   79.8333
   0.460	   93.3054	   79.8144
   0.462	   93.2935	   79.8160
   0.464	   93.2655	   79.8348
   0.466	   93.2502	   79.8702
   0.468	   93.2651	   79.8952
   0.470	   93.3157	   79.8523
   0.472	   93.3788	   79.7937
   0.474	   93.4370	   79.7463
   0.476	   93.4478	   79.7391
