Time[sec]	 X[micron]	 Y[micron]
   0.000	   91.9165	   70.9235
   0.002	   91.9790	   70.9615
   0.004	   92.0267	   71.0558
   0.006	   92.0907	   71.0912
   0.008	   92.1171	   71.1397
   0.010	   92.0543	   71.1445
   0.012	   92.0700	   71.1382
   0.014	   92.0418	   71.1289
   0.016	   92.0575	   71.1051
   0.018	   92.0578	   71.1312
   0.020	   92.1296	   71.2119
   0.022	   92.1807	   71.2659
   0.024	   92.2157	   71.3474
   0.026	   92.2513	   71.3809
   0.028	   92.2320	   71.3817
   0.030	   92.2209	   71.3622
   0.032	   92.2266	   71.3483
   0.034	   92.1990	   71.3411
   0.036	   92.2252	   71.3386
   0.038	   92.2405	   71.3825
   0.040	   92.2908	   71.4530
   0.042	   92.3530	   71.5584
   0.044	   92.3845	   71.6065
   0.046	   92.4063	   71.6133
   0.048	   92.3453	   71.5832
   0.050	   92.3412	   71.5965
   0.052	   92.3576	   71.5811
   0.054	   92.3549	   71.5655
   0.056	   92.3466	   71.5990
   0.058	   92.3926	   71.6629
   0.060	   92.4590	   71.7564
   0.062	   92.4594	   71.8005
   0.064	   92.4684	   71.8406
   0.066	   92.4280	   71.8185
   0.068	   92.4069	   71.8220
   0.070	   92.4380	   71.8114
   0.072	   92.4363	   71.7819
   0.074	   92.4514	   71.8168
   0.076	   92.4633	   71.9068
   0.078	   92.5189	   71.9764
   0.080	   92.5285	   72.0294
   0.082	   92.5254	   72.0786
   0.084	   92.4522	   72.0518
   0.086	   92.4748	   72.0430
   0.088	   92.4878	   72.0349
   0.090	   92.4918	   72.0128
   0.092	   92.5079	   72.0941
   0.094	   92.5232	   72.1789
   0.096	   92.5335	   72.2709
   0.098	   92.5424	   72.3122
   0.100	   92.5266	   72.3331
   0.102	   92.4963	   72.3313
   0.104	   92.5210	   72.2978
   0.106	   92.5136	   72.2794
   0.108	   92.5220	   72.2954
   0.110	   92.5074	   72.3795
   0.112	   92.5088	   72.4488
   0.114	   92.5198	   72.5569
   0.116	   92.5195	   72.5958
   0.118	   92.4918	   72.5777
   0.120	   92.4819	   72.5566
   0.122	   92.4732	   72.5336
   0.124	   92.5096	   72.5187
   0.126	   92.5139	   72.5433
   0.128	   92.5023	   72.6190
   0.130	   92.5037	   72.7131
   0.132	   92.4816	   72.7818
   0.134	   92.4485	   72.8134
   0.136	   92.3948	   72.7901
   0.138	   92.3833	   72.7519
   0.140	   92.4206	   72.7548
   0.142	   92.4786	   72.7734
   0.144	   92.4480	   72.8529
   0.146	   92.4366	   72.9356
   0.148	   92.4218	   72.9983
   0.150	   92.3962	   73.0302
   0.152	   92.3636	   73.0279
   0.154	   92.3643	   73.0118
   0.156	   92.3935	   72.9866
   0.158	   92.4030	   72.9955
   0.160	   92.3942	   73.0093
   0.162	   92.3437	   73.0877
   0.164	   92.3244	   73.1714
   0.166	   92.2936	   73.2073
   0.168	   92.2704	   73.2399
   0.170	   92.2336	   73.1931
   0.172	   92.2581	   73.1703
   0.174	   92.2615	   73.1717
   0.176	   92.2721	   73.1931
   0.178	   92.2611	   73.2308
   0.180	   92.2124	   73.2822
   0.182	   92.1699	   73.3413
   0.184	   92.1206	   73.4311
   0.186	   92.0962	   73.4335
   0.188	   92.0905	   73.4330
   0.190	   92.1083	   73.3851
   0.192	   92.1007	   73.3570
   0.194	   92.1169	   73.3802
   0.196	   92.1231	   73.3605
   0.198	   92.0572	   73.4205
   0.200	   92.0019	   73.4778
   0.202	   91.9465	   73.5490
   0.204	   91.8979	   73.6066
   0.206	   91.8859	   73.6087
   0.208	   91.9303	   73.5603
   0.210	   91.9344	   73.5989
   0.212	   91.9482	   73.5481
   0.214	   91.9129	   73.5456
   0.216	   91.8758	   73.5575
   0.218	   91.8257	   73.6333
   0.220	   91.7948	   73.6532
   0.222	   91.7678	   73.7345
   0.224	   91.8092	   73.7654
   0.226	   91.7763	   73.8502
   0.228	   91.7730	   73.7295
   0.230	   91.6872	   73.7195
   0.232	   91.6798	   73.6994
   0.234	   91.7187	   73.7514
   0.236	   91.7698	   73.8167
   0.238	   91.7860	   73.8498
   0.240	   91.7527	   73.8626
   0.242	   91.6806	   73.8631
   0.244	   91.6333	   73.8217
   0.246	   91.6113	   73.8336
   0.248	   91.6209	   73.8345
   0.250	   91.6856	   73.8652
   0.252	   91.6669	   73.9247
   0.254	   91.5885	   73.9696
   0.256	   91.5506	   74.0053
   0.258	   91.4881	   73.9902
   0.260	   91.4582	   73.9957
   0.262	   91.4749	   73.9874
   0.264	   91.5551	   73.9751
   0.266	   91.5342	   74.0230
   0.268	   91.4971	   74.0369
   0.270	   91.4346	   74.0978
   0.272	   91.3443	   74.1298
   0.274	   91.2965	   74.1534
   0.276	   91.2207	   74.1972
   0.278	   91.2954	   74.1151
   0.280	   91.2726	   74.0921
   0.282	   91.3186	   74.0763
   0.284	   91.3216	   74.1176
   0.286	   91.2799	   74.1432
   0.288	   91.2017	   74.1852
   0.290	   91.1269	   74.2257
   0.292	   91.0956	   74.2458
   0.294	   91.0710	   74.1864
   0.296	   91.0687	   74.1815
   0.298	   91.1115	   74.1779
   0.300	   91.0547	   74.2769
   0.302	   91.0848	   74.2099
   0.304	   91.0181	   74.2675
   0.306	   90.9508	   74.3036
   0.308	   90.9078	   74.3122
   0.310	   90.8525	   74.3316
   0.312	   90.8364	   74.3093
   0.314	   90.8749	   74.3150
   0.316	   90.8859	   74.2746
   0.318	   90.8750	   74.2731
   0.320	   90.8475	   74.2870
   0.322	   90.7905	   74.3158
   0.324	   90.7088	   74.3643
   0.326	   90.6183	   74.3821
   0.328	   90.5879	   74.3775
   0.330	   90.6014	   74.3643
   0.332	   90.6047	   74.3464
   0.334	   90.6486	   74.3480
