Time[sec]	 X[micron]	 Y[micron]
   0.000	   98.0324	   74.8627
   0.002	   98.0335	   74.8859
   0.004	   98.0424	   74.8709
   0.006	   98.0626	   74.8433
   0.008	   98.0832	   74.8151
   0.010	   98.0937	   74.8342
   0.012	   98.0842	   74.8568
   0.014	   98.0790	   74.8712
   0.016	   98.0597	   74.8856
   0.018	   98.0196	   74.9269
   0.020	   98.0334	   74.9375
   0.022	   98.0144	   74.9491
   0.024	   98.0430	   74.9265
   0.026	   98.0603	   74.9088
   0.028	   98.0701	   74.9168
   0.030	   98.0490	   74.9392
   0.032	   98.0327	   74.9516
   0.034	   98.0407	   74.9748
   0.036	   98.0439	   74.9738
   0.038	   98.0138	   74.9943
   0.040	   97.9901	   75.0201
   0.042	   97.9871	   75.0483
   0.044	   97.9977	   75.0194
   0.046	   98.0259	   75.0290
   0.048	   98.0551	   75.0038
   0.050	   98.0431	   74.9984
   0.052	   98.0433	   74.9930
   0.054	   98.0270	   75.0376
   0.056	   98.0240	   75.0604
   0.058	   98.0096	   75.0716
   0.060	   97.9847	   75.0865
   0.062	   97.9865	   75.0945
   0.064	   97.9924	   75.0808
   0.066	   98.0296	   75.1155
   0.068	   98.0464	   75.1107
   0.070	   98.0437	   75.0791
   0.072	   98.0286	   75.0970
   0.074	   98.0090	   75.1234
   0.076	   98.0038	   75.1270
   0.078	   98.0137	   75.1078
   0.080	   98.0092	   75.1385
   0.082	   97.9974	   75.1339
   0.084	   97.9930	   75.1490
   0.086	   98.0193	   75.1600
   0.088	   98.0901	   75.1420
   0.090	   98.1353	   75.1079
   0.092	   98.1473	   75.0960
   0.094	   98.0963	   75.1355
   0.096	   98.0531	   75.1722
   0.098	   97.9921	   75.1927
   0.100	   97.9480	   75.2008
   0.102	   97.9734	   75.2001
   0.104	   98.0433	   75.2043
   0.106	   98.1227	   75.1704
   0.108	   98.1496	   75.1707
   0.110	   98.1553	   75.1564
   0.112	   98.1249	   75.1898
   0.114	   98.1299	   75.2012
   0.116	   98.1068	   75.2160
   0.118	   98.0555	   75.2463
   0.120	   98.0722	   75.2764
   0.122	   98.0494	   75.2698
   0.124	   98.0237	   75.2343
   0.126	   98.0361	   75.2479
   0.128	   98.0652	   75.2275
   0.130	   98.1039	   75.2336
   0.132	   98.1158	   75.2435
   0.134	   98.1017	   75.2783
   0.136	   98.0629	   75.2913
   0.138	   98.0151	   75.3244
   0.140	   97.9879	   75.3315
   0.142	   97.9579	   75.3170
   0.144	   97.9952	   75.2832
   0.146	   98.0463	   75.2799
   0.148	   98.0543	   75.2813
   0.150	   98.0493	   75.2984
   0.152	   98.0433	   75.3145
   0.154	   98.0328	   75.3446
   0.156	   98.0115	   75.3431
   0.158	   98.0355	   75.3532
   0.160	   98.0754	   75.3445
   0.162	   98.0789	   75.3259
   0.164	   98.1100	   75.3255
   0.166	   98.1018	   75.3394
   0.168	   98.0482	   75.3523
   0.170	   98.0057	   75.4034
   0.172	   97.9746	   75.3979
   0.174	   97.9880	   75.3971
   0.176	   98.0369	   75.3809
   0.178	   98.0912	   75.3637
   0.180	   98.1249	   75.3723
   0.182	   98.1333	   75.3725
   0.184	   98.1220	   75.3815
   0.186	   98.1323	   75.3839
   0.188	   98.0845	   75.4036
   0.190	   98.0645	   75.4430
   0.192	   98.0637	   75.4442
   0.194	   98.0549	   75.4301
   0.196	   98.0831	   75.4260
   0.198	   98.1102	   75.4204
   0.200	   98.0989	   75.4161
   0.202	   98.1070	   75.4511
   0.204	   98.1363	   75.4640
   0.206	   98.1222	   75.4769
   0.208	   98.0975	   75.4575
   0.210	   98.0691	   75.4866
   0.212	   98.0757	   75.4917
   0.214	   98.0653	   75.4948
   0.216	   98.0907	   75.4655
   0.218	   98.1280	   75.4686
   0.220	   98.1218	   75.4569
   0.222	   98.1217	   75.4792
   0.224	   98.1458	   75.5215
   0.226	   98.1472	   75.5242
   0.228	   98.1287	   75.5367
   0.230	   98.0877	   75.5422
   0.232	   98.0612	   75.5594
   0.234	   98.0619	   75.5583
   0.236	   98.0665	   75.5501
   0.238	   98.0902	   75.5572
   0.240	   98.0957	   75.5354
   0.242	   98.1173	   75.5441
   0.244	   98.1347	   75.5553
   0.246	   98.1210	   75.5788
   0.248	   98.1295	   75.6067
   0.250	   98.0953	   75.5919
   0.252	   98.1168	   75.6063
   0.254	   98.0687	   75.6197
   0.256	   98.0884	   75.6137
   0.258	   98.0859	   75.5953
   0.260	   98.1139	   75.5946
   0.262	   98.1189	   75.5831
   0.264	   98.1164	   75.6117
   0.266	   98.1193	   75.6043
   0.268	   98.1151	   75.6436
   0.270	   98.1177	   75.6407
   0.272	   98.0793	   75.6874
   0.274	   98.0547	   75.6942
   0.276	   98.0720	   75.7069
   0.278	   98.0444	   75.6916
   0.280	   98.0795	   75.6763
   0.282	   98.1153	   75.6625
   0.284	   98.1170	   75.6793
   0.286	   98.1267	   75.6990
   0.288	   98.1255	   75.7074
   0.290	   98.1299	   75.7299
   0.292	   98.1542	   75.7312
   0.294	   98.1142	   75.7532
   0.296	   98.1185	   75.7866
   0.298	   98.0770	   75.7873
   0.300	   98.0689	   75.7766
   0.302	   98.1114	   75.7662
   0.304	   98.1564	   75.7465
   0.306	   98.1704	   75.7451
   0.308	   98.1657	   75.7657
   0.310	   98.1721	   75.7708
   0.312	   98.1783	   75.8218
   0.314	   98.1690	   75.8273
   0.316	   98.1175	   75.8092
   0.318	   98.0961	   75.8444
   0.320	   98.1036	   75.8295
   0.322	   98.1064	   75.8386
   0.324	   98.1505	   75.8366
   0.326	   98.1478	   75.8283
   0.328	   98.1605	   75.8457
   0.330	   98.1556	   75.8655
   0.332	   98.1691	   75.8747
   0.334	   98.1550	   75.9129
   0.336	   98.1490	   75.8987
   0.338	   98.1432	   75.9031
   0.340	   98.1440	   75.8857
   0.342	   98.1439	   75.8972
   0.344	   98.1562	   75.9004
   0.346	   98.1428	   75.9270
   0.348	   98.1589	   75.9348
   0.350	   98.1774	   75.9089
   0.352	   98.1967	   75.9432
   0.354	   98.1974	   75.9600
   0.356	   98.1976	   75.9499
   0.358	   98.2063	   75.9572
   0.360	   98.2196	   75.9452
   0.362	   98.2139	   75.9329
   0.364	   98.2301	   75.9349
   0.366	   98.2186	   75.9497
   0.368	   98.2216	   75.9464
   0.370	   98.2198	   75.9362
   0.372	   98.2464	   75.9743
   0.374	   98.2752	   75.9860
   0.376	   98.2877	   75.9949
   0.378	   98.2754	   75.9993
   0.380	   98.2630	   76.0061
   0.382	   98.2385	   76.0354
   0.384	   98.2445	   76.0167
   0.386	   98.2292	   76.0322
   0.388	   98.2650	   76.0048
   0.390	   98.2901	   75.9967
   0.392	   98.2922	   76.0156
   0.394	   98.3085	   76.0421
   0.396	   98.3321	   76.0382
   0.398	   98.3266	   76.0637
   0.400	   98.2651	   76.0967
   0.402	   98.2443	   76.0751
   0.404	   98.2518	   76.0748
   0.406	   98.2613	   76.0912
   0.408	   98.3207	   76.0826
   0.410	   98.3226	   76.0591
   0.412	   98.3563	   76.0645
   0.414	   98.3566	   76.0797
   0.416	   98.3614	   76.0913
   0.418	   98.3857	   76.0831
   0.420	   98.3528	   76.1327
   0.422	   98.3095	   76.1461
   0.424	   98.2923	   76.1648
   0.426	   98.3005	   76.1521
   0.428	   98.3039	   76.1498
   0.430	   98.3518	   76.1288
