Time[sec]	 X[micron]	 Y[micron]
   0.000	   87.9389	   69.2158
   0.002	   87.9300	   69.2194
   0.004	   87.9417	   69.2150
   0.006	   87.9145	   69.1920
   0.008	   87.9288	   69.1705
   0.010	   87.9400	   69.1751
   0.012	   87.9459	   69.2111
   0.014	   87.9623	   69.2544
   0.016	   87.9463	   69.3084
   0.018	   87.9278	   69.2662
   0.020	   87.9480	   69.2755
   0.022	   87.9360	   69.2339
   0.024	   87.9506	   69.2299
   0.026	   87.9410	   69.2417
   0.028	   87.9499	   69.2791
   0.030	   87.9666	   69.3260
   0.032	   87.9633	   69.3324
   0.034	   87.9474	   69.3288
   0.036	   87.9566	   69.3347
   0.038	   87.9404	   69.3282
   0.040	   87.9332	   69.2991
   0.042	   87.9557	   69.2882
   0.044	   87.9455	   69.3295
   0.046	   87.9731	   69.3830
   0.048	   87.9644	   69.4080
   0.050	   87.9414	   69.4349
   0.052	   87.9357	   69.3966
   0.054	   87.9226	   69.3932
   0.056	   87.9330	   69.3805
   0.058	   87.9507	   69.3598
   0.060	   87.9526	   69.3823
   0.062	   87.9476	   69.4332
   0.064	   87.9322	   69.4772
   0.066	   87.9402	   69.4855
   0.068	   87.9616	   69.4613
   0.070	   87.9206	   69.4496
   0.072	   87.9596	   69.4151
   0.074	   87.9683	   69.4359
   0.076	   87.9856	   69.4466
   0.078	   87.9635	   69.5022
   0.080	   87.9608	   69.5112
   0.082	   87.9433	   69.5274
   0.084	   87.9420	   69.5072
   0.086	   87.9439	   69.4953
   0.088	   87.9533	   69.4811
   0.090	   87.9696	   69.4944
   0.092	   87.9531	   69.5385
   0.094	   87.9904	   69.5843
   0.096	   87.9824	   69.5792
   0.098	   87.9468	   69.5605
   0.100	   87.9329	   69.5734
   0.102	   87.9230	   69.5490
   0.104	   87.9523	   69.5471
   0.106	   87.9672	   69.5669
   0.108	   87.9600	   69.6057
   0.110	   87.9561	   69.6332
   0.112	   87.9566	   69.6746
   0.114	   87.9280	   69.6544
   0.116	   87.9302	   69.6545
   0.118	   87.9203	   69.6251
   0.120	   87.9462	   69.6213
   0.122	   87.9573	   69.6350
   0.124	   87.9531	   69.6873
   0.126	   87.9583	   69.7183
   0.128	   87.9809	   69.7195
   0.130	   87.9446	   69.7383
   0.132	   87.9518	   69.6978
   0.134	   87.9413	   69.6967
   0.136	   87.9715	   69.6914
   0.138	   87.9519	   69.7042
   0.140	   87.9698	   69.7457
   0.142	   87.9434	   69.7788
   0.144	   87.9578	   69.8013
   0.146	   87.9292	   69.8030
   0.148	   87.9230	   69.7720
   0.150	   87.9268	   69.7438
   0.152	   87.9511	   69.7505
   0.154	   87.9444	   69.7578
   0.156	   87.9380	   69.8202
   0.158	   87.9480	   69.8454
   0.160	   87.9398	   69.8552
   0.162	   87.9078	   69.8718
   0.164	   87.9396	   69.8482
   0.166	   87.9272	   69.8070
   0.168	   87.9452	   69.8176
   0.170	   87.9665	   69.8345
