Time[sec]	 X[micron]	 Y[micron]
   0.000	  106.6188	   76.4576
   0.002	  106.6551	   76.5076
   0.004	  106.6878	   76.5066
   0.006	  106.7046	   76.5325
   0.008	  106.6814	   76.5140
   0.010	  106.6659	   76.5176
   0.012	  106.6653	   76.5216
   0.014	  106.6615	   76.4912
   0.016	  106.6717	   76.4964
   0.018	  106.7019	   76.5017
   0.020	  106.7311	   76.5496
   0.022	  106.7656	   76.5614
   0.024	  106.7650	   76.5921
   0.026	  106.7484	   76.5548
   0.028	  106.7326	   76.5721
   0.030	  106.7402	   76.5537
   0.032	  106.7353	   76.5487
   0.034	  106.7557	   76.5762
   0.036	  106.8080	   76.6052
   0.038	  106.7983	   76.6204
   0.040	  106.8050	   76.6440
   0.042	  106.7905	   76.6130
   0.044	  106.7972	   76.6253
   0.046	  106.7945	   76.6124
   0.048	  106.7908	   76.6187
   0.050	  106.8061	   76.6299
   0.052	  106.8218	   76.6447
   0.054	  106.8590	   76.6981
   0.056	  106.8605	   76.7398
   0.058	  106.8303	   76.7111
   0.060	  106.8074	   76.7188
   0.062	  106.7979	   76.7141
   0.064	  106.7828	   76.6935
   0.066	  106.8111	   76.7005
   0.068	  106.8713	   76.7664
   0.070	  106.8608	   76.7848
   0.072	  106.8817	   76.8017
   0.074	  106.8878	   76.8174
   0.076	  106.8590	   76.7831
   0.078	  106.8168	   76.7806
   0.080	  106.8440	   76.7620
   0.082	  106.8530	   76.7558
   0.084	  106.8925	   76.7852
   0.086	  106.9428	   76.8254
   0.088	  106.9520	   76.8457
   0.090	  106.9335	   76.8416
   0.092	  106.8844	   76.8357
   0.094	  106.8822	   76.8339
   0.096	  106.8989	   76.8119
   0.098	  106.9419	   76.8162
   0.100	  106.9517	   76.8282
   0.102	  106.9863	   76.8634
   0.104	  106.9982	   76.9023
   0.106	  106.9810	   76.9157
   0.108	  106.9670	   76.8885
   0.110	  106.9633	   76.8845
   0.112	  106.9715	   76.8767
   0.114	  106.9560	   76.8350
   0.116	  107.0084	   76.8724
   0.118	  107.0242	   76.8801
   0.120	  107.0483	   76.9428
   0.122	  107.0468	   76.9743
   0.124	  107.0268	   76.9344
   0.126	  106.9930	   76.9649
   0.128	  107.0266	   76.9208
   0.130	  107.0306	   76.9099
   0.132	  107.0561	   76.9306
   0.134	  107.1138	   76.9595
   0.136	  107.1314	   77.0098
   0.138	  107.1307	   77.0262
   0.140	  107.1256	   77.0202
   0.142	  107.0773	   77.0030
   0.144	  107.0757	   76.9888
   0.146	  107.0740	   76.9906
   0.148	  107.1171	   77.0026
