Time[sec]	 X[micron]	 Y[micron]
   0.000	   98.5539	   64.4702
   0.002	   98.4872	   64.4649
   0.004	   98.5537	   64.4762
   0.006	   98.5913	   64.4808
   0.008	   98.6074	   64.4802
   0.010	   98.6004	   64.4844
   0.012	   98.5908	   64.4508
   0.014	   98.5789	   64.4268
   0.016	   98.5259	   64.4067
   0.018	   98.5501	   64.4111
   0.020	   98.5343	   64.4355
   0.022	   98.5675	   64.4357
   0.024	   98.6168	   64.4207
   0.026	   98.6354	   64.4017
   0.028	   98.5987	   64.3898
   0.030	   98.5259	   64.3611
   0.032	   98.5619	   64.3482
   0.034	   98.5695	   64.3320
   0.036	   98.5694	   64.3637
   0.038	   98.5627	   64.4124
   0.040	   98.5770	   64.4254
   0.042	   98.5941	   64.3713
   0.044	   98.6173	   64.3012
   0.046	   98.6057	   64.2592
   0.048	   98.5753	   64.2878
   0.050	   98.5546	   64.3118
   0.052	   98.5624	   64.3227
   0.054	   98.6016	   64.3200
   0.056	   98.6130	   64.3126
   0.058	   98.5981	   64.3078
   0.060	   98.5768	   64.2717
   0.062	   98.5949	   64.2060
   0.064	   98.6065	   64.1839
   0.066	   98.5958	   64.1912
   0.068	   98.5673	   64.2435
   0.070	   98.4897	   64.2631
   0.072	   98.6131	   64.2612
   0.074	   98.6290	   64.2262
   0.076	   98.6076	   64.2064
   0.078	   98.5730	   64.1737
   0.080	   98.5710	   64.1304
   0.082	   98.5971	   64.0936
   0.084	   98.5391	   64.1100
   0.086	   98.6013	   64.1700
   0.088	   98.5832	   64.2093
   0.090	   98.5007	   64.1979
   0.092	   98.5242	   64.1508
   0.094	   98.5164	   64.0816
   0.096	   98.5427	   64.0577
   0.098	   98.5763	   64.0688
   0.100	   98.5930	   64.0793
   0.102	   98.6281	   64.0891
   0.104	   98.6358	   64.0930
   0.106	   98.5203	   64.1098
   0.108	   98.4834	   64.1030
   0.110	   98.4944	   64.0561
   0.112	   98.6082	   64.0164
   0.114	   98.5557	   63.9805
   0.116	   98.6104	   64.0168
   0.118	   98.6144	   64.0303
   0.120	   98.6281	   64.0456
   0.122	   98.6229	   64.0388
   0.124	   98.5962	   64.0229
   0.126	   98.4812	   64.0123
   0.128	   98.4788	   63.9887
   0.130	   98.5207	   63.9615
   0.132	   98.5797	   63.9474
   0.134	   98.6208	   63.9612
   0.136	   98.6182	   63.9879
   0.138	   98.5971	   63.9800
   0.140	   98.5902	   63.9627
   0.142	   98.5845	   63.9274
   0.144	   98.4753	   63.9115
   0.146	   98.4846	   63.9405
   0.148	   98.5300	   63.9468
   0.150	   98.6314	   63.9305
   0.152	   98.6395	   63.8931
   0.154	   98.6167	   63.8935
   0.156	   98.5810	   63.8929
   0.158	   98.5734	   63.8861
   0.160	   98.4795	   63.8519
   0.162	   98.4960	   63.8642
   0.164	   98.5008	   63.8991
   0.166	   98.5238	   63.9049
   0.168	   98.6082	   63.8872
   0.170	   98.6144	   63.8254
   0.172	   98.6019	   63.7953
   0.174	   98.5760	   63.7783
   0.176	   98.5614	   63.7924
   0.178	   98.5438	   63.7838
   0.180	   98.4786	   63.7876
   0.182	   98.5263	   63.8127
   0.184	   98.5985	   63.8492
   0.186	   98.5908	   63.8251
   0.188	   98.5858	   63.7570
   0.190	   98.5715	   63.6773
   0.192	   98.4996	   63.6629
   0.194	   98.4952	   63.6737
   0.196	   98.4675	   63.7156
   0.198	   98.4873	   63.7289
   0.200	   98.4951	   63.7363
   0.202	   98.5688	   63.7512
   0.204	   98.5171	   63.7344
   0.206	   98.4636	   63.6887
   0.208	   98.4804	   63.6132
   0.210	   98.4839	   63.5600
   0.212	   98.4762	   63.5613
   0.214	   98.4826	   63.5970
   0.216	   98.4978	   63.6213
   0.218	   98.5884	   63.6348
   0.220	   98.4899	   63.6347
   0.222	   98.4485	   63.6538
   0.224	   98.4265	   63.6553
   0.226	   98.4502	   63.6053
   0.228	   98.4655	   63.5463
   0.230	   98.5387	   63.5212
   0.232	   98.5715	   63.5512
   0.234	   98.5650	   63.5717
   0.236	   98.5528	   63.5687
   0.238	   98.5242	   63.5453
   0.240	   98.4547	   63.5252
   0.242	   98.4961	   63.5282
   0.244	   98.4867	   63.5432
   0.246	   98.4382	   63.5298
   0.248	   98.4816	   63.5073
