Time[sec]	 X[micron]	 Y[micron]
   0.000	   32.2664	   35.9882
   0.002	   32.2907	   35.9743
   0.004	   32.2811	   35.9995
   0.006	   32.2906	   36.0110
   0.008	   32.2816	   36.0176
   0.010	   32.2617	   36.0034
   0.012	   32.2858	   35.9829
   0.014	   32.2808	   35.9920
   0.016	   32.2983	   36.0088
   0.018	   32.2674	   36.0020
   0.020	   32.2582	   36.0011
   0.022	   32.2493	   35.9983
   0.024	   32.2685	   36.0113
   0.026	   32.2707	   36.0016
   0.028	   32.2418	   35.9849
   0.030	   32.2406	   36.0009
   0.032	   32.2279	   35.9941
   0.034	   32.2550	   36.0041
   0.036	   32.2495	   36.0038
   0.038	   32.2622	   35.9977
   0.040	   32.2536	   36.0010
   0.042	   32.2336	   35.9794
   0.044	   32.2444	   36.0035
   0.046	   32.2550	   36.0067
   0.048	   32.2354	   35.9869
   0.050	   32.2252	   36.0014
   0.052	   32.2470	   35.9954
   0.054	   32.2427	   36.0128
   0.056	   32.2500	   35.9972
   0.058	   32.2547	   36.0194
   0.060	   32.2287	   36.0069
   0.062	   32.2183	   36.0048
   0.064	   32.2188	   36.0035
   0.066	   32.2325	   36.0044
   0.068	   32.2195	   35.9913
   0.070	   32.1983	   35.9995
   0.072	   32.2043	   35.9890
   0.074	   32.2210	   35.9983
   0.076	   32.2228	   36.0248
   0.078	   32.2333	   36.0100
   0.080	   32.2153	   36.0073
   0.082	   32.2055	   36.0104
   0.084	   32.2148	   35.9944
   0.086	   32.2274	   36.0132
   0.088	   32.2128	   35.9972
   0.090	   32.2006	   35.9994
   0.092	   32.1851	   35.9965
   0.094	   32.1941	   35.9824
   0.096	   32.2125	   36.0048
   0.098	   32.2024	   36.0275
   0.100	   32.1882	   36.0060
   0.102	   32.1990	   35.9969
   0.104	   32.1869	   35.9970
   0.106	   32.1942	   36.0074
   0.108	   32.2208	   36.0165
   0.110	   32.1716	   36.0103
   0.112	   32.1843	   35.9878
   0.114	   32.1840	   35.9867
   0.116	   32.1931	   35.9978
   0.118	   32.1945	   36.0011
   0.120	   32.1944	   36.0150
   0.122	   32.1706	   35.9939
   0.124	   32.2035	   35.9879
   0.126	   32.1690	   36.0050
   0.128	   32.1917	   36.0063
   0.130	   32.1681	   36.0158
   0.132	   32.1742	   36.0011
   0.134	   32.1647	   36.0010
   0.136	   32.1625	   35.9957
   0.138	   32.1718	   36.0057
   0.140	   32.1801	   36.0135
   0.142	   32.1726	   36.0100
   0.144	   32.1457	   35.9875
   0.146	   32.1827	   35.9977
   0.148	   32.1983	   35.9906
   0.150	   32.1577	   36.0057
   0.152	   32.1486	   36.0054
   0.154	   32.1567	   35.9871
   0.156	   32.1590	   35.9778
   0.158	   32.1755	   35.9964
   0.160	   32.1700	   36.0218
   0.162	   32.1438	   36.0347
   0.164	   32.1728	   36.0077
   0.166	   32.1491	   36.0042
   0.168	   32.1554	   36.0023
   0.170	   32.1532	   35.9886
   0.172	   32.1461	   36.0098
   0.174	   32.1432	   36.0104
   0.176	   32.1276	   35.9971
   0.178	   32.1487	   36.0115
   0.180	   32.1620	   36.0136
   0.182	   32.1441	   36.0273
   0.184	   32.1228	   36.0324
   0.186	   32.1369	   36.0084
   0.188	   32.1629	   36.0024
   0.190	   32.1219	   36.0185
   0.192	   32.1269	   36.0118
   0.194	   32.1195	   36.0174
   0.196	   32.1166	   36.0231
   0.198	   32.1372	   36.0162
   0.200	   32.1428	   36.0343
   0.202	   32.1156	   36.0412
   0.204	   32.1341	   36.0230
   0.206	   32.1217	   35.9982
   0.208	   32.1303	   36.0048
   0.210	   32.1153	   36.0062
   0.212	   32.1056	   36.0231
   0.214	   32.1151	   36.0116
   0.216	   32.1175	   35.9894
   0.218	   32.1137	   36.0025
   0.220	   32.1260	   36.0215
   0.222	   32.1179	   36.0275
   0.224	   32.1115	   36.0225
   0.226	   32.1195	   36.0113
   0.228	   32.1033	   36.0106
   0.230	   32.0996	   35.9916
   0.232	   32.0900	   36.0085
   0.234	   32.0878	   36.0292
   0.236	   32.0969	   35.9898
   0.238	   32.1159	   35.9928
   0.240	   32.1023	   36.0154
   0.242	   32.1004	   36.0095
   0.244	   32.0992	   36.0097
   0.246	   32.1031	   36.0196
   0.248	   32.0991	   35.9879
   0.250	   32.0813	   35.9904
   0.252	   32.0646	   36.0044
   0.254	   32.0770	   36.0230
   0.256	   32.0910	   36.0123
   0.258	   32.0783	   35.9966
   0.260	   32.0739	   36.0085
   0.262	   32.0877	   36.0250
   0.264	   32.0761	   36.0226
   0.266	   32.0954	   36.0279
   0.268	   32.0519	   35.9935
