Time[sec]	 X[micron]	 Y[micron]
   0.000	   86.5188	   74.4030
   0.002	   86.5121	   74.3715
   0.004	   86.5444	   74.4104
   0.006	   86.5008	   74.4614
   0.008	   86.5116	   74.4739
   0.010	   86.5121	   74.4315
   0.012	   86.5251	   74.4032
   0.014	   86.5380	   74.3843
   0.016	   86.5381	   74.4127
   0.018	   86.5437	   74.4320
   0.020	   86.5400	   74.4569
   0.022	   86.5549	   74.4249
   0.024	   86.5948	   74.4221
   0.026	   86.5598	   74.3988
   0.028	   86.5376	   74.3926
   0.030	   86.5713	   74.4193
   0.032	   86.5545	   74.4375
   0.034	   86.5516	   74.4290
   0.036	   86.5559	   74.4204
   0.038	   86.5634	   74.3876
   0.040	   86.5803	   74.3843
   0.042	   86.5963	   74.3707
   0.044	   86.6135	   74.3603
   0.046	   86.6032	   74.3605
   0.048	   86.6001	   74.3694
   0.050	   86.5691	   74.4018
   0.052	   86.5877	   74.4139
   0.054	   86.5770	   74.3792
   0.056	   86.5897	   74.3444
   0.058	   86.6116	   74.3215
   0.060	   86.6180	   74.3363
   0.062	   86.6299	   74.3796
   0.064	   86.6187	   74.3920
   0.066	   86.6541	   74.3742
   0.068	   86.6695	   74.3583
   0.070	   86.6204	   74.3585
   0.072	   86.6406	   74.3260
   0.074	   86.6384	   74.3289
   0.076	   86.6444	   74.3446
   0.078	   86.6342	   74.3750
   0.080	   86.6283	   74.3808
   0.082	   86.6394	   74.3465
   0.084	   86.6700	   74.3330
   0.086	   86.6770	   74.3194
   0.088	   86.6461	   74.3094
   0.090	   86.6386	   74.2992
   0.092	   86.6336	   74.3355
   0.094	   86.6519	   74.3270
   0.096	   86.6770	   74.3484
   0.098	   86.6541	   74.3291
   0.100	   86.6559	   74.2882
   0.102	   86.6610	   74.3001
   0.104	   86.6789	   74.2683
   0.106	   86.6819	   74.2957
   0.108	   86.6866	   74.2633
   0.110	   86.6932	   74.2670
   0.112	   86.7111	   74.3034
   0.114	   86.7035	   74.3295
   0.116	   86.7102	   74.3229
   0.118	   86.6884	   74.2877
   0.120	   86.7030	   74.2554
   0.122	   86.7055	   74.2515
   0.124	   86.7149	   74.2644
   0.126	   86.7108	   74.2956
   0.128	   86.7228	   74.3073
   0.130	   86.7301	   74.2881
   0.132	   86.7484	   74.2539
   0.134	   86.7494	   74.2245
   0.136	   86.7537	   74.2241
   0.138	   86.7189	   74.2360
   0.140	   86.7046	   74.2683
   0.142	   86.7357	   74.2773
   0.144	   86.7357	   74.2741
   0.146	   86.7431	   74.2558
   0.148	   86.7564	   74.2323
   0.150	   86.7535	   74.2111
   0.152	   86.7615	   74.2199
   0.154	   86.7642	   74.1925
   0.156	   86.7847	   74.2246
   0.158	   86.7781	   74.2145
   0.160	   86.7942	   74.2611
   0.162	   86.7646	   74.2668
   0.164	   86.7730	   74.2291
   0.166	   86.7728	   74.1824
   0.168	   86.7863	   74.1850
   0.170	   86.7928	   74.2084
   0.172	   86.8021	   74.2397
   0.174	   86.8307	   74.2402
   0.176	   86.8330	   74.2031
   0.178	   86.8369	   74.2099
   0.180	   86.8274	   74.1901
   0.182	   86.7890	   74.2188
   0.184	   86.8167	   74.2055
   0.186	   86.7976	   74.2053
   0.188	   86.8117	   74.1935
   0.190	   86.8059	   74.2012
   0.192	   86.8191	   74.1605
   0.194	   86.8706	   74.1509
   0.196	   86.8595	   74.1304
   0.198	   86.8627	   74.1223
   0.200	   86.8519	   74.1512
   0.202	   86.8415	   74.1707
   0.204	   86.8369	   74.1573
   0.206	   86.8109	   74.1584
   0.208	   86.8389	   74.1571
   0.210	   86.8271	   74.1768
   0.212	   86.8749	   74.1395
   0.214	   86.8862	   74.1212
   0.216	   86.8844	   74.1177
   0.218	   86.8797	   74.0730
   0.220	   86.8822	   74.0845
   0.222	   86.8854	   74.1294
   0.224	   86.8762	   74.1655
   0.226	   86.8689	   74.1499
   0.228	   86.8673	   74.1121
   0.230	   86.8704	   74.0758
   0.232	   86.8753	   74.0651
   0.234	   86.9128	   74.0903
   0.236	   86.9006	   74.1189
   0.238	   86.9159	   74.1180
   0.240	   86.9225	   74.1089
   0.242	   86.9253	   74.0885
   0.244	   86.8779	   74.0768
   0.246	   86.8768	   74.0819
   0.248	   86.9009	   74.0866
   0.250	   86.8931	   74.0757
   0.252	   86.8965	   74.0720
   0.254	   86.9000	   74.0575
   0.256	   86.9122	   74.0612
   0.258	   86.9300	   74.0247
   0.260	   86.9170	   74.0120
   0.262	   86.9087	   73.9859
   0.264	   86.9157	   74.0245
   0.266	   86.8935	   74.0436
   0.268	   86.9312	   74.0666
   0.270	   86.9236	   74.0630
   0.272	   86.9138	   74.0034
   0.274	   86.9292	   73.9823
   0.276	   86.9255	   74.0051
   0.278	   86.9589	   73.9966
   0.280	   86.9552	   74.0259
   0.282	   86.9554	   74.0472
   0.284	   86.9678	   74.0222
   0.286	   86.9501	   74.0135
   0.288	   86.9321	   74.0069
   0.290	   86.9351	   74.0062
   0.292	   86.9418	   74.0106
   0.294	   86.9422	   74.0198
   0.296	   86.9500	   74.0102
   0.298	   86.9540	   74.0053
   0.300	   86.9793	   73.9775
   0.302	   86.9796	   73.9693
   0.304	   86.9661	   73.9738
   0.306	   86.9809	   73.9656
   0.308	   86.9651	   73.9779
   0.310	   86.9703	   73.9813
   0.312	   86.9663	   73.9756
   0.314	   86.9595	   73.9616
   0.316	   86.9614	   73.9624
   0.318	   86.9921	   73.9421
   0.320	   86.9986	   73.9091
   0.322	   86.9368	   73.9381
   0.324	   86.9684	   73.9574
   0.326	   86.9543	   73.9424
   0.328	   86.9854	   73.9614
   0.330	   86.9752	   73.9373
   0.332	   86.9616	   73.9350
   0.334	   86.9764	   73.9182
   0.336	   87.0265	   73.8882
   0.338	   86.9805	   73.8485
   0.340	   86.9450	   73.8618
   0.342	   86.9313	   73.9026
   0.344	   86.9536	   73.8923
   0.346	   86.9854	   73.9280
   0.348	   86.9813	   73.9077
   0.350	   86.9630	   73.8736
   0.352	   86.9884	   73.8731
   0.354	   86.9990	   73.8796
   0.356	   87.0006	   73.8382
   0.358	   86.9714	   73.8347
   0.360	   86.9635	   73.8441
   0.362	   86.9857	   73.8893
   0.364	   86.9980	   73.8990
   0.366	   87.0064	   73.9053
   0.368	   86.9874	   73.8603
   0.370	   86.9964	   73.8261
   0.372	   86.9786	   73.8266
   0.374	   86.9941	   73.8093
   0.376	   86.9927	   73.8065
   0.378	   87.0044	   73.8288
   0.380	   87.0164	   73.8312
   0.382	   87.0328	   73.8716
   0.384	   87.0155	   73.8744
   0.386	   87.0131	   73.8276
   0.388	   86.9870	   73.8172
   0.390	   87.0110	   73.7993
   0.392	   87.0581	   73.8224
   0.394	   87.0589	   73.8669
   0.396	   87.0684	   73.8699
   0.398	   87.0634	   73.8564
   0.400	   87.0648	   73.8197
   0.402	   87.0383	   73.8105
   0.404	   87.0180	   73.8308
   0.406	   87.0297	   73.8193
   0.408	   87.0235	   73.7843
   0.410	   87.0429	   73.8039
   0.412	   87.0219	   73.7826
   0.414	   87.0400	   73.7759
   0.416	   87.0306	   73.7583
   0.418	   87.0351	   73.7506
   0.420	   87.0129	   73.7485
   0.422	   86.9711	   73.7440
   0.424	   86.9990	   73.7634
   0.426	   87.0097	   73.7693
   0.428	   87.0342	   73.7946
   0.430	   87.0310	   73.7686
   0.432	   87.0448	   73.7494
   0.434	   87.0505	   73.7081
   0.436	   87.0754	   73.7186
   0.438	   87.0557	   73.7135
   0.440	   87.0333	   73.6870
   0.442	   87.0370	   73.6994
   0.444	   87.0357	   73.7080
   0.446	   87.0438	   73.7344
   0.448	   87.0607	   73.7237
   0.450	   87.0514	   73.7121
   0.452	   87.0646	   73.7135
   0.454	   87.0651	   73.6553
   0.456	   87.0578	   73.6656
   0.458	   87.0664	   73.6712
   0.460	   87.0438	   73.6505
   0.462	   87.0777	   73.6978
   0.464	   87.0719	   73.6799
   0.466	   87.1125	   73.7011
   0.468	   87.1081	   73.6921
   0.470	   87.0867	   73.6740
   0.472	   87.1042	   73.6506
   0.474	   87.1058	   73.6498
   0.476	   87.1035	   73.6306
   0.478	   87.1195	   73.6160
   0.480	   87.1115	   73.6229
   0.482	   87.1150	   73.6509
   0.484	   87.1363	   73.6887
   0.486	   87.1489	   73.6715
   0.488	   87.1288	   73.6553
   0.490	   87.1077	   73.6210
   0.492	   87.1237	   73.6099
   0.494	   87.1283	   73.6098
   0.496	   87.1142	   73.5857
   0.498	   87.1147	   73.6033
   0.500	   87.1209	   73.6113
   0.502	   87.1536	   73.6301
   0.504	   87.1825	   73.6627
   0.506	   87.1558	   73.6245
   0.508	   87.1348	   73.5955
   0.510	   87.1267	   73.5696
   0.512	   87.1706	   73.5852
   0.514	   87.1779	   73.6196
   0.516	   87.1992	   73.6019
   0.518	   87.1888	   73.6003
   0.520	   87.2004	   73.6006
   0.522	   87.1876	   73.6070
   0.524	   87.1583	   73.5861
   0.526	   87.1897	   73.5585
   0.528	   87.1622	   73.5610
   0.530	   87.1821	   73.5862
   0.532	   87.1907	   73.5901
   0.534	   87.1967	   73.5580
   0.536	   87.1930	   73.5258
   0.538	   87.1935	   73.5078
   0.540	   87.1788	   73.4957
   0.542	   87.1497	   73.5054
   0.544	   87.1680	   73.5361
   0.546	   87.1719	   73.5410
   0.548	   87.1776	   73.5337
   0.550	   87.1498	   73.5137
   0.552	   87.1478	   73.4865
   0.554	   87.1639	   73.4859
   0.556	   87.1812	   73.4760
   0.558	   87.1507	   73.4807
   0.560	   87.1572	   73.4726
   0.562	   87.1909	   73.4868
   0.564	   87.1952	   73.5102
   0.566	   87.1988	   73.5136
   0.568	   87.1739	   73.4774
   0.570	   87.1507	   73.4557
   0.572	   87.1507	   73.4462
   0.574	   87.1748	   73.4835
   0.576	   87.2227	   73.4775
   0.578	   87.2248	   73.4787
   0.580	   87.2271	   73.4542
   0.582	   87.2306	   73.4844
   0.584	   87.2381	   73.4835
   0.586	   87.2092	   73.4604
   0.588	   87.1960	   73.4521
   0.590	   87.1788	   73.4574
   0.592	   87.2129	   73.4794
   0.594	   87.2218	   73.4649
   0.596	   87.2310	   73.4520
   0.598	   87.2384	   73.4290
   0.600	   87.2380	   73.3960
   0.602	   87.2410	   73.4005
   0.604	   87.2147	   73.4413
   0.606	   87.2059	   73.4483
   0.608	   87.2271	   73.4279
   0.610	   87.2221	   73.4243
   0.612	   87.2061	   73.4064
   0.614	   87.2302	   73.3992
   0.616	   87.2396	   73.3894
   0.618	   87.2395	   73.3671
   0.620	   87.2295	   73.3459
   0.622	   87.2057	   73.3651
   0.624	   87.2133	   73.4052
   0.626	   87.2402	   73.4226
   0.628	   87.2540	   73.3810
   0.630	   87.2292	   73.3705
   0.632	   87.2461	   73.3595
   0.634	   87.2679	   73.3565
   0.636	   87.2522	   73.3254
   0.638	   87.2530	   73.3561
   0.640	   87.2590	   73.3325
   0.642	   87.2496	   73.3395
   0.644	   87.3145	   73.3466
   0.646	   87.3120	   73.4027
   0.648	   87.2990	   73.3368
   0.650	   87.2419	   73.3114
   0.652	   87.2385	   73.3180
   0.654	   87.2704	   73.3131
   0.656	   87.3027	   73.3391
   0.658	   87.2863	   73.3371
   0.660	   87.2714	   73.3012
   0.662	   87.3083	   73.2921
   0.664	   87.3114	   73.2764
   0.666	   87.2891	   73.3037
   0.668	   87.2587	   73.3194
   0.670	   87.2748	   73.3060
   0.672	   87.2792	   73.3161
   0.674	   87.2755	   73.2999
   0.676	   87.2665	   73.2917
   0.678	   87.2796	   73.2934
   0.680	   87.2942	   73.2485
   0.682	   87.2709	   73.2340
   0.684	   87.2476	   73.2276
   0.686	   87.2734	   73.2619
   0.688	   87.2692	   73.2877
   0.690	   87.3042	   73.2858
   0.692	   87.3047	   73.2682
   0.694	   87.2744	   73.2416
   0.696	   87.2637	   73.2231
   0.698	   87.2978	   73.2510
   0.700	   87.3411	   73.2477
   0.702	   87.3521	   73.2507
   0.704	   87.3220	   73.2558
   0.706	   87.3222	   73.2093
   0.708	   87.3082	   73.2345
   0.710	   87.2807	   73.2191
   0.712	   87.3187	   73.2185
   0.714	   87.3009	   73.2059
   0.716	   87.3208	   73.2216
   0.718	   87.3171	   73.2112
   0.720	   87.3004	   73.1936
   0.722	   87.3072	   73.1838
   0.724	   87.3195	   73.1662
   0.726	   87.2966	   73.1473
   0.728	   87.2909	   73.1691
   0.730	   87.2453	   73.1746
   0.732	   87.2969	   73.1741
   0.734	   87.3237	   73.1900
   0.736	   87.2922	   73.1780
   0.738	   87.2865	   73.1743
   0.740	   87.2951	   73.1769
   0.742	   87.2934	   73.1498
   0.744	   87.3048	   73.1327
   0.746	   87.2621	   73.1325
   0.748	   87.2826	   73.1343
   0.750	   87.3295	   73.1678
   0.752	   87.3505	   73.1634
   0.754	   87.3462	   73.1335
   0.756	   87.2974	   73.1129
   0.758	   87.2753	   73.0889
   0.760	   87.3311	   73.1035
   0.762	   87.3378	   73.1126
   0.764	   87.3613	   73.1482
   0.766	   87.3727	   73.1309
   0.768	   87.3666	   73.1371
   0.770	   87.3508	   73.1173
   0.772	   87.3328	   73.1057
   0.774	   87.3520	   73.1054
   0.776	   87.3534	   73.0866
   0.778	   87.3594	   73.1060
   0.780	   87.3716	   73.0970
   0.782	   87.3550	   73.1044
   0.784	   87.3371	   73.0889
   0.786	   87.3617	   73.0777
   0.788	   87.3401	   73.0512
   0.790	   87.3433	   73.0487
   0.792	   87.3393	   73.0830
   0.794	   87.3262	   73.0893
   0.796	   87.3706	   73.0751
   0.798	   87.3454	   73.0596
   0.800	   87.3271	   73.0436
   0.802	   87.3275	   73.0377
   0.804	   87.3188	   73.0181
   0.806	   87.3227	   73.0154
   0.808	   87.3484	   73.0374
   0.810	   87.3863	   73.0271
   0.812	   87.4218	   73.0585
   0.814	   87.4016	   73.0792
   0.816	   87.3568	   73.0023
   0.818	   87.3213	   72.9945
   0.820	   87.3546	   73.0103
   0.822	   87.3608	   73.0078
   0.824	   87.3735	   73.0240
   0.826	   87.3902	   72.9907
   0.828	   87.3818	   72.9875
   0.830	   87.3620	   72.9800
   0.832	   87.3653	   72.9665
   0.834	   87.3547	   72.9975
   0.836	   87.3554	   72.9796
   0.838	   87.3509	   72.9633
   0.840	   87.3623	   72.9674
   0.842	   87.3659	   72.9981
   0.844	   87.3654	   72.9690
   0.846	   87.3847	   72.9367
   0.848	   87.3686	   72.9167
   0.850	   87.3869	   72.9094
   0.852	   87.3254	   72.9536
   0.854	   87.3607	   72.9516
   0.856	   87.3646	   72.9403
   0.858	   87.3994	   72.9585
   0.860	   87.3728	   72.9309
   0.862	   87.3458	   72.9256
   0.864	   87.3326	   72.9014
   0.866	   87.3432	   72.8691
   0.868	   87.3275	   72.9042
   0.870	   87.3435	   72.9102
   0.872	   87.3675	   72.8915
   0.874	   87.4342	   72.9457
   0.876	   87.4163	   72.9375
   0.878	   87.3822	   72.8937
   0.880	   87.3534	   72.8863
   0.882	   87.3515	   72.8688
   0.884	   87.3684	   72.8812
   0.886	   87.3962	   72.9038
   0.888	   87.4046	   72.8917
   0.890	   87.3786	   72.8749
   0.892	   87.3865	   72.8740
   0.894	   87.3855	   72.8785
   0.896	   87.3504	   72.8699
   0.898	   87.3868	   72.8554
   0.900	   87.3732	   72.8455
   0.902	   87.3820	   72.8695
   0.904	   87.3774	   72.8758
   0.906	   87.3651	   72.8427
   0.908	   87.3579	   72.8086
   0.910	   87.3738	   72.8090
   0.912	   87.3428	   72.8173
   0.914	   87.3103	   72.8278
   0.916	   87.3407	   72.8354
   0.918	   87.3794	   72.8359
   0.920	   87.3944	   72.8265
   0.922	   87.3648	   72.8138
   0.924	   87.3635	   72.8026
   0.926	   87.3578	   72.7829
   0.928	   87.3677	   72.7621
   0.930	   87.3401	   72.7738
   0.932	   87.3464	   72.7474
   0.934	   87.3146	   72.7811
   0.936	   87.3495	   72.7958
   0.938	   87.3946	   72.7786
   0.940	   87.3632	   72.7852
   0.942	   87.3566	   72.7572
   0.944	   87.3472	   72.7450
   0.946	   87.3671	   72.7302
   0.948	   87.3479	   72.7077
   0.950	   87.3146	   72.7146
   0.952	   87.3744	   72.7074
   0.954	   87.3830	   72.7480
   0.956	   87.3912	   72.7560
   0.958	   87.3801	   72.7394
   0.960	   87.3310	   72.7013
   0.962	   87.3167	   72.6806
   0.964	   87.3667	   72.6838
   0.966	   87.4195	   72.7154
   0.968	   87.4248	   72.7044
   0.970	   87.4152	   72.7069
   0.972	   87.4104	   72.6812
   0.974	   87.4006	   72.6871
   0.976	   87.3877	   72.6926
   0.978	   87.4159	   72.6694
   0.980	   87.4009	   72.6865
   0.982	   87.3933	   72.6826
   0.984	   87.3809	   72.6794
   0.986	   87.3940	   72.6712
   0.988	   87.3887	   72.6431
   0.990	   87.3724	   72.6369
   0.992	   87.3567	   72.6188
   0.994	   87.3509	   72.6381
   0.996	   87.3755	   72.6365
   0.998	   87.3872	   72.6423
   1.000	   87.3736	   72.6457
   1.002	   87.3672	   72.6127
   1.004	   87.3449	   72.5937
   1.006	   87.3665	   72.5861
   1.008	   87.3536	   72.5829
   1.010	   87.3365	   72.5827
   1.012	   87.3411	   72.6008
   1.014	   87.3633	   72.6042
   1.016	   87.4085	   72.6161
   1.018	   87.3951	   72.5983
   1.020	   87.3778	   72.5821
   1.022	   87.3474	   72.5428
   1.024	   87.3593	   72.5559
   1.026	   87.3903	   72.5457
   1.028	   87.4227	   72.5668
   1.030	   87.4498	   72.5855
   1.032	   87.4250	   72.5629
   1.034	   87.3833	   72.5417
   1.036	   87.3529	   72.5439
   1.038	   87.3797	   72.5274
   1.040	   87.4037	   72.5483
   1.042	   87.4212	   72.5540
   1.044	   87.4380	   72.5330
   1.046	   87.4307	   72.5391
   1.048	   87.4578	   72.5123
   1.050	   87.4118	   72.5346
   1.052	   87.3984	   72.5054
   1.054	   87.4005	   72.5008
   1.056	   87.3984	   72.5023
   1.058	   87.4205	   72.5247
   1.060	   87.4253	   72.4966
   1.062	   87.4188	   72.4939
   1.064	   87.4035	   72.4658
   1.066	   87.4004	   72.4612
   1.068	   87.3705	   72.4663
   1.070	   87.3669	   72.4778
   1.072	   87.3767	   72.4848
   1.074	   87.3993	   72.4779
   1.076	   87.4054	   72.4900
   1.078	   87.3893	   72.4639
   1.080	   87.4198	   72.4582
   1.082	   87.4082	   72.4230
   1.084	   87.4164	   72.4154
   1.086	   87.3682	   72.4055
   1.088	   87.3595	   72.4245
   1.090	   87.3780	   72.4356
   1.092	   87.3954	   72.4409
   1.094	   87.4291	   72.4115
   1.096	   87.3861	   72.4147
   1.098	   87.3602	   72.3874
   1.100	   87.3541	   72.3875
   1.102	   87.3921	   72.3672
   1.104	   87.4167	   72.3680
   1.106	   87.4413	   72.3791
   1.108	   87.4390	   72.3980
   1.110	   87.4144	   72.4094
   1.112	   87.3931	   72.3755
   1.114	   87.3641	   72.3440
   1.116	   87.3734	   72.3308
   1.118	   87.3981	   72.3381
   1.120	   87.4087	   72.3747
   1.122	   87.4190	   72.3609
   1.124	   87.4070	   72.3420
   1.126	   87.4171	   72.3173
   1.128	   87.3712	   72.3268
   1.130	   87.3701	   72.3282
   1.132	   87.3763	   72.3250
   1.134	   87.3721	   72.3402
   1.136	   87.3700	   72.3303
   1.138	   87.3607	   72.3134
   1.140	   87.3569	   72.2941
   1.142	   87.3828	   72.2909
   1.144	   87.3643	   72.2752
   1.146	   87.3343	   72.2876
   1.148	   87.3497	   72.2842
   1.150	   87.3605	   72.2702
   1.152	   87.3715	   72.2867
   1.154	   87.3843	   72.2817
   1.156	   87.3438	   72.2541
   1.158	   87.3296	   72.2265
   1.160	   87.3282	   72.2306
   1.162	   87.3334	   72.2284
   1.164	   87.3876	   72.2221
   1.166	   87.3901	   72.2545
   1.168	   87.3784	   72.2330
   1.170	   87.3408	   72.2349
   1.172	   87.3157	   72.2171
   1.174	   87.2960	   72.2010
   1.176	   87.3124	   72.1908
   1.178	   87.3279	   72.1938
   1.180	   87.3495	   72.2319
   1.182	   87.3573	   72.2106
   1.184	   87.3443	   72.1962
   1.186	   87.3350	   72.1830
   1.188	   87.3105	   72.1707
   1.190	   87.3170	   72.2096
   1.192	   87.3016	   72.2087
   1.194	   87.3303	   72.2129
   1.196	   87.3282	   72.1825
   1.198	   87.3026	   72.1654
   1.200	   87.2700	   72.1671
   1.202	   87.2561	   72.1680
   1.204	   87.3054	   72.1516
   1.206	   87.3233	   72.1697
   1.208	   87.3113	   72.1667
   1.210	   87.2804	   72.1404
   1.212	   87.2792	   72.1351
   1.214	   87.2489	   72.1453
   1.216	   87.2654	   72.1213
   1.218	   87.2770	   72.1290
   1.220	   87.2715	   72.1480
   1.222	   87.2832	   72.1653
   1.224	   87.3027	   72.1388
   1.226	   87.2706	   72.1158
   1.228	   87.2488	   72.0850
   1.230	   87.2403	   72.0766
   1.232	   87.2390	   72.0902
   1.234	   87.2666	   72.1214
   1.236	   87.2641	   72.1204
   1.238	   87.2625	   72.1074
   1.240	   87.2476	   72.0828
   1.242	   87.2047	   72.0552
   1.244	   87.2197	   72.0601
   1.246	   87.2371	   72.0759
   1.248	   87.2198	   72.0874
   1.250	   87.2532	   72.0839
   1.252	   87.2296	   72.0853
