Time[sec]	 X[micron]	 Y[micron]
   0.000	   86.0117	   69.5350
   0.002	   86.0519	   69.4916
   0.004	   86.0855	   69.4345
   0.006	   86.1001	   69.4121
   0.008	   86.0903	   69.4120
   0.010	   86.0845	   69.4299
   0.012	   86.0874	   69.4318
   0.014	   86.0801	   69.4349
   0.016	   86.0592	   69.4611
   0.018	   86.0526	   69.4796
   0.020	   86.0727	   69.4536
   0.022	   86.1093	   69.3979
   0.024	   86.1508	   69.3639
   0.026	   86.1531	   69.3592
   0.028	   86.1383	   69.3760
   0.030	   86.1207	   69.3895
   0.032	   86.1270	   69.3987
   0.034	   86.1150	   69.4104
   0.036	   86.0871	   69.4308
   0.038	   86.0902	   69.4301
   0.040	   86.1239	   69.3841
   0.042	   86.1635	   69.3301
   0.044	   86.1875	   69.3025
   0.046	   86.1885	   69.3120
   0.048	   86.1682	   69.3388
   0.050	   86.1839	   69.3497
   0.052	   86.1891	   69.3508
   0.054	   86.1570	   69.3554
   0.056	   86.1295	   69.3536
   0.058	   86.1160	   69.3369
   0.060	   86.1347	   69.3064
   0.062	   86.1732	   69.3074
   0.064	   86.1964	   69.3125
   0.066	   86.1896	   69.3320
   0.068	   86.1949	   69.3379
   0.070	   86.2128	   69.3169
   0.072	   86.2100	   69.2800
   0.074	   86.1988	   69.2693
   0.076	   86.1727	   69.2805
   0.078	   86.1681	   69.2780
   0.080	   86.1808	   69.2805
   0.082	   86.2057	   69.2772
   0.084	   86.2218	   69.2884
   0.086	   86.2124	   69.3027
   0.088	   86.2156	   69.2657
   0.090	   86.2286	   69.2310
   0.092	   86.2337	   69.2115
   0.094	   86.2251	   69.2258
   0.096	   86.2016	   69.2604
   0.098	   86.1980	   69.2788
   0.100	   86.2362	   69.2579
   0.102	   86.2626	   69.2431
   0.104	   86.2454	   69.2249
   0.106	   86.2374	   69.2217
   0.108	   86.2252	   69.1936
   0.110	   86.2574	   69.1676
   0.112	   86.2550	   69.1617
   0.114	   86.2405	   69.1974
   0.116	   86.2258	   69.2279
   0.118	   86.2549	   69.2212
   0.120	   86.2765	   69.1836
   0.122	   86.2847	   69.1466
   0.124	   86.2678	   69.1450
   0.126	   86.2510	   69.1503
   0.128	   86.2649	   69.1315
   0.130	   86.2669	   69.1225
   0.132	   86.2750	   69.1500
   0.134	   86.2771	   69.1740
   0.136	   86.2816	   69.1740
   0.138	   86.2960	   69.1372
   0.140	   86.3146	   69.0864
   0.142	   86.3134	   69.0734
   0.144	   86.2812	   69.0938
   0.146	   86.2766	   69.0991
   0.148	   86.2785	   69.0933
   0.150	   86.2982	   69.0932
   0.152	   86.3194	   69.1129
   0.154	   86.3087	   69.1250
   0.156	   86.3104	   69.0950
   0.158	   86.3229	   69.0466
   0.160	   86.3415	   69.0105
   0.162	   86.3308	   69.0256
   0.164	   86.3128	   69.0428
   0.166	   86.2997	   69.0537
   0.168	   86.3083	   69.0619
   0.170	   86.3407	   69.0569
   0.172	   86.3378	   69.0570
   0.174	   86.3361	   69.0544
   0.176	   86.3407	   69.0059
   0.178	   86.3712	   68.9529
   0.180	   86.3751	   68.9506
   0.182	   86.3573	   68.9839
   0.184	   86.3245	   69.0134
   0.186	   86.3278	   69.0165
   0.188	   86.3764	   69.0109
   0.190	   86.3953	   69.0063
   0.192	   86.3773	   69.0011
   0.194	   86.3680	   68.9661
   0.196	   86.3864	   68.9187
   0.198	   86.4010	   68.8914
   0.200	   86.4001	   68.9040
   0.202	   86.3499	   68.9466
   0.204	   86.3428	   68.9765
   0.206	   86.3778	   68.9643
   0.208	   86.4154	   68.9421
   0.210	   86.4257	   68.9255
   0.212	   86.3910	   68.9163
   0.214	   86.3809	   68.9032
   0.216	   86.3904	   68.8735
   0.218	   86.4017	   68.8537
   0.220	   86.3839	   68.8706
   0.222	   86.3620	   68.9225
   0.224	   86.3795	   68.9245
   0.226	   86.4090	   68.8949
   0.228	   86.4208	   68.8514
   0.230	   86.4187	   68.8226
   0.232	   86.3988	   68.8245
   0.234	   86.3931	   68.8325
   0.236	   86.4144	   68.8143
   0.238	   86.4024	   68.8131
   0.240	   86.4031	   68.8531
   0.242	   86.4019	   68.8651
   0.244	   86.4079	   68.8585
   0.246	   86.4318	   68.8155
   0.248	   86.4567	   68.7683
   0.250	   86.4363	   68.7636
   0.252	   86.4207	   68.7705
   0.254	   86.4243	   68.7607
   0.256	   86.4324	   68.7526
   0.258	   86.4264	   68.7798
   0.260	   86.4170	   68.8082
   0.262	   86.4220	   68.8206
   0.264	   86.4288	   68.7738
   0.266	   86.4558	   68.7156
   0.268	   86.4675	   68.6846
   0.270	   86.4419	   68.6960
   0.272	   86.4306	   68.7180
   0.274	   86.4398	   68.7161
   0.276	   86.4485	   68.7096
   0.278	   86.4740	   68.7294
   0.280	   86.4540	   68.7409
   0.282	   86.4445	   68.7186
   0.284	   86.4618	   68.6616
   0.286	   86.4872	   68.6125
   0.288	   86.4779	   68.6315
   0.290	   86.4437	   68.6573
   0.292	   86.4355	   68.6959
   0.294	   86.4690	   68.6878
   0.296	   86.5022	   68.6808
   0.298	   86.4938	   68.6582
   0.300	   86.4810	   68.6420
   0.302	   86.4785	   68.6011
   0.304	   86.4940	   68.5782
   0.306	   86.4946	   68.5780
   0.308	   86.4734	   68.6189
   0.310	   86.4589	   68.6383
   0.312	   86.4757	   68.6431
   0.314	   86.5076	   68.6083
   0.316	   86.5264	   68.5792
   0.318	   86.5089	   68.5569
   0.320	   86.4972	   68.5430
   0.322	   86.5058	   68.5235
   0.324	   86.5192	   68.5242
   0.326	   86.5126	   68.5489
   0.328	   86.5011	   68.5884
   0.330	   86.4987	   68.6083
   0.332	   86.5190	   68.5766
   0.334	   86.5519	   68.5249
   0.336	   86.5476	   68.4912
   0.338	   86.5310	   68.4790
   0.340	   86.5193	   68.4862
   0.342	   86.5293	   68.4867
   0.344	   86.5399	   68.4835
   0.346	   86.5328	   68.5077
   0.348	   86.5269	   68.5373
   0.350	   86.5255	   68.5302
   0.352	   86.5403	   68.4884
   0.354	   86.5567	   68.4281
   0.356	   86.5508	   68.4096
   0.358	   86.5265	   68.4165
   0.360	   86.5168	   68.4204
   0.362	   86.5275	   68.4252
   0.364	   86.5342	   68.4344
   0.366	   86.5448	   68.4717
   0.368	   86.5414	   68.4780
   0.370	   86.5468	   68.4580
   0.372	   86.5581	   68.3884
   0.374	   86.5706	   68.3514
   0.376	   86.5397	   68.3640
   0.378	   86.5251	   68.3763
   0.380	   86.5245	   68.3826
   0.382	   86.5359	   68.3758
   0.384	   86.5596	   68.3870
   0.386	   86.5560	   68.4053
   0.388	   86.5463	   68.4095
   0.390	   86.5500	   68.3640
   0.392	   86.5606	   68.3113
   0.394	   86.5606	   68.2994
   0.396	   86.5289	   68.3223
   0.398	   86.5103	   68.3435
   0.400	   86.5375	   68.3487
   0.402	   86.5758	   68.3383
   0.404	   86.5948	   68.3262
   0.406	   86.5651	   68.3185
   0.408	   86.5501	   68.2963
   0.410	   86.5634	   68.2652
   0.412	   86.5744	   68.2470
   0.414	   86.5736	   68.2547
   0.416	   86.5512	   68.2922
   0.418	   86.5534	   68.3101
