Time[sec]	 X[micron]	 Y[micron]
   0.000	  131.9887	  122.1718
   0.002	  131.9905	  122.1707
   0.004	  131.9738	  122.1790
   0.006	  131.9906	  122.1734
   0.008	  131.9894	  122.1877
   0.010	  132.0064	  122.1860
   0.012	  132.0095	  122.1466
   0.014	  132.0045	  122.1403
   0.016	  131.9920	  122.1520
   0.018	  131.9897	  122.1506
   0.020	  131.9897	  122.1444
   0.022	  132.0033	  122.1584
   0.024	  132.0169	  122.1252
   0.026	  132.0113	  122.1489
   0.028	  132.0269	  122.1081
   0.030	  131.9864	  122.1104
   0.032	  132.0352	  122.0793
   0.034	  131.9990	  122.1179
   0.036	  132.0130	  122.1231
   0.038	  132.0158	  122.1096
   0.040	  132.0317	  122.0950
   0.042	  132.0597	  122.0486
   0.044	  132.0315	  122.0837
   0.046	  132.0038	  122.0789
   0.048	  131.9852	  122.0826
   0.050	  132.0128	  122.1027
   0.052	  132.0170	  122.0824
   0.054	  132.0185	  122.0996
   0.056	  132.0242	  122.0776
   0.058	  132.0238	  122.1084
   0.060	  132.0061	  122.0820
   0.062	  132.0018	  122.0737
   0.064	  132.0064	  122.0827
   0.066	  132.0170	  122.0559
   0.068	  132.0518	  122.0338
   0.070	  132.0224	  122.0716
   0.072	  132.0356	  122.0530
   0.074	  132.0560	  122.0099
   0.076	  132.0477	  121.9979
   0.078	  132.0440	  121.9879
   0.080	  132.0039	  122.0236
   0.082	  132.0262	  122.0499
   0.084	  132.0444	  122.0142
   0.086	  132.0222	  122.0285
   0.088	  132.0171	  122.0268
   0.090	  132.0440	  122.0199
   0.092	  132.0173	  122.0424
   0.094	  132.0305	  121.9766
   0.096	  132.0156	  122.0140
   0.098	  132.0126	  122.0183
   0.100	  132.0400	  122.0229
   0.102	  132.0302	  122.0465
   0.104	  132.0868	  121.9951
   0.106	  132.0353	  122.0289
   0.108	  132.0344	  122.0207
   0.110	  132.0417	  122.0048
   0.112	  132.0286	  121.9959
   0.114	  132.0468	  122.0080
   0.116	  132.0438	  121.9732
   0.118	  132.0514	  121.9750
   0.120	  132.0335	  121.9867
   0.122	  132.0517	  121.9953
   0.124	  132.0607	  122.0027
   0.126	  132.0218	  121.9961
   0.128	  132.0299	  121.9726
   0.130	  132.0274	  121.9616
   0.132	  132.0420	  121.9795
   0.134	  132.0306	  121.9849
   0.136	  132.0500	  121.9824
   0.138	  132.0274	  121.9481
   0.140	  132.0416	  121.9642
   0.142	  132.0430	  121.9659
   0.144	  132.0664	  121.9691
   0.146	  132.0298	  121.9559
   0.148	  132.0824	  121.9149
   0.150	  132.0414	  121.9542
   0.152	  132.0453	  121.9435
   0.154	  132.0598	  121.9495
   0.156	  132.0538	  121.9335
   0.158	  132.0875	  121.9170
   0.160	  132.0867	  121.9552
   0.162	  132.0838	  121.9390
   0.164	  132.0720	  121.9371
   0.166	  132.0587	  121.9255
   0.168	  132.0337	  121.9154
   0.170	  132.0671	  121.9069
   0.172	  132.0757	  121.9341
   0.174	  132.1128	  121.9310
   0.176	  132.0760	  121.9196
   0.178	  132.1077	  121.8533
   0.180	  132.0376	  121.8972
   0.182	  132.0673	  121.8980
   0.184	  132.0587	  121.9306
   0.186	  132.1149	  121.8780
   0.188	  132.0854	  121.9095
   0.190	  132.0799	  121.9223
   0.192	  132.0665	  121.8923
   0.194	  132.0715	  121.8904
   0.196	  132.0764	  121.8825
   0.198	  132.0927	  121.8820
   0.200	  132.0864	  121.8957
   0.202	  132.0799	  121.9006
   0.204	  132.0771	  121.8816
   0.206	  132.0839	  121.8378
   0.208	  132.0823	  121.8725
   0.210	  132.0734	  121.8660
   0.212	  132.0700	  121.8522
   0.214	  132.0728	  121.8734
   0.216	  132.0696	  121.8667
   0.218	  132.1031	  121.8159
   0.220	  132.0860	  121.8751
   0.222	  132.0741	  121.8441
   0.224	  132.0610	  121.8256
   0.226	  132.0606	  121.8367
   0.228	  132.0682	  121.8329
   0.230	  132.0854	  121.8494
   0.232	  132.1186	  121.8036
   0.234	  132.0838	  121.8324
   0.236	  132.0674	  121.8375
   0.238	  132.0742	  121.8320
   0.240	  132.0694	  121.8387
   0.242	  132.0873	  121.8344
   0.244	  132.0886	  121.8173
   0.246	  132.0952	  121.8333
   0.248	  132.0786	  121.8097
   0.250	  132.1011	  121.8109
   0.252	  132.0823	  121.8038
   0.254	  132.0406	  121.7887
   0.256	  132.0651	  121.7918
   0.258	  132.0760	  121.7806
   0.260	  132.0771	  121.7957
   0.262	  132.0842	  121.8241
   0.264	  132.0809	  121.7935
   0.266	  132.0647	  121.7717
   0.268	  132.0381	  121.7556
   0.270	  132.0679	  121.7653
   0.272	  132.0479	  121.7153
   0.274	  132.0565	  121.7765
   0.276	  132.0620	  121.7654
   0.278	  132.0568	  121.7610
   0.280	  132.0704	  121.7703
   0.282	  132.0540	  121.7468
   0.284	  132.0385	  121.7414
   0.286	  132.0528	  121.7377
   0.288	  132.0515	  121.7426
   0.290	  132.0572	  121.7637
   0.292	  132.0540	  121.7562
   0.294	  132.0637	  121.7303
   0.296	  132.0648	  121.7173
   0.298	  132.0597	  121.7145
   0.300	  132.0504	  121.7104
   0.302	  132.0404	  121.6905
   0.304	  132.0679	  121.6754
   0.306	  132.0690	  121.7230
   0.308	  132.0714	  121.7163
   0.310	  132.0610	  121.7037
   0.312	  132.0715	  121.7053
   0.314	  132.0754	  121.6772
   0.316	  132.0546	  121.6842
   0.318	  132.0731	  121.6828
   0.320	  132.0553	  121.7139
   0.322	  132.0680	  121.7107
   0.324	  132.0721	  121.6968
   0.326	  132.0913	  121.6667
   0.328	  132.0775	  121.6742
   0.330	  132.0785	  121.6598
   0.332	  132.0775	  121.6785
   0.334	  132.0724	  121.6605
   0.336	  132.0827	  121.6789
   0.338	  132.0926	  121.6632
   0.340	  132.0758	  121.6635
   0.342	  132.1007	  121.6450
   0.344	  132.1006	  121.6455
   0.346	  132.0814	  121.6446
   0.348	  132.0720	  121.6400
   0.350	  132.0684	  121.6434
   0.352	  132.0927	  121.6508
   0.354	  132.1137	  121.6463
   0.356	  132.1073	  121.6259
   0.358	  132.1203	  121.6302
   0.360	  132.1178	  121.5728
   0.362	  132.0970	  121.6120
   0.364	  132.1147	  121.6311
   0.366	  132.0984	  121.6248
   0.368	  132.1252	  121.6140
   0.370	  132.0960	  121.6169
   0.372	  132.1150	  121.6114
   0.374	  132.1245	  121.5950
   0.376	  132.1353	  121.5948
   0.378	  132.1174	  121.5877
   0.380	  132.0807	  121.6132
   0.382	  132.1245	  121.5881
   0.384	  132.1142	  121.5965
   0.386	  132.1513	  121.5689
   0.388	  132.1205	  121.5691
   0.390	  132.1246	  121.5661
