Time[sec]	 X[micron]	 Y[micron]
   0.000	   68.2470	   70.9743
   0.002	   68.2545	   70.9827
   0.004	   68.2513	   70.9756
   0.006	   68.2425	   70.9728
   0.008	   68.2366	   70.9737
   0.010	   68.2421	   70.9752
   0.012	   68.2438	   70.9965
   0.014	   68.2526	   71.0183
   0.016	   68.2447	   71.0148
   0.018	   68.2543	   71.0166
   0.020	   68.2539	   71.0171
   0.022	   68.2501	   71.0162
   0.024	   68.2531	   71.0136
   0.026	   68.2501	   71.0027
   0.028	   68.2486	   70.9902
   0.030	   68.2392	   70.9926
   0.032	   68.2421	   71.0055
   0.034	   68.2516	   71.0079
   0.036	   68.2568	   71.0266
   0.038	   68.2645	   71.0332
   0.040	   68.2598	   71.0467
   0.042	   68.2630	   71.0471
   0.044	   68.2580	   71.0538
   0.046	   68.2689	   71.0492
   0.048	   68.2640	   71.0311
   0.050	   68.2592	   71.0200
   0.052	   68.2630	   71.0151
   0.054	   68.2512	   71.0174
   0.056	   68.2580	   71.0170
   0.058	   68.2612	   71.0299
   0.060	   68.2658	   71.0378
   0.062	   68.2637	   71.0505
   0.064	   68.2602	   71.0617
   0.066	   68.2732	   71.0682
   0.068	   68.2752	   71.0709
   0.070	   68.2734	   71.0571
   0.072	   68.2610	   71.0446
   0.074	   68.2627	   71.0372
   0.076	   68.2584	   71.0412
   0.078	   68.2563	   71.0501
   0.080	   68.2595	   71.0556
   0.082	   68.2649	   71.0534
   0.084	   68.2783	   71.0698
   0.086	   68.2796	   71.0856
   0.088	   68.2801	   71.0934
   0.090	   68.2793	   71.0857
   0.092	   68.2693	   71.0784
   0.094	   68.2703	   71.0748
   0.096	   68.2716	   71.0687
   0.098	   68.2756	   71.0682
   0.100	   68.2782	   71.0629
   0.102	   68.2628	   71.0583
   0.104	   68.2601	   71.0650
   0.106	   68.2742	   71.0797
   0.108	   68.2881	   71.0958
   0.110	   68.2861	   71.0950
   0.112	   68.2759	   71.0968
   0.114	   68.2813	   71.1002
   0.116	   68.2837	   71.0975
   0.118	   68.2730	   71.0972
   0.120	   68.2787	   71.0870
   0.122	   68.2691	   71.0747
   0.124	   68.2668	   71.0875
   0.126	   68.2722	   71.0874
   0.128	   68.2719	   71.0992
   0.130	   68.2800	   71.1159
   0.132	   68.2887	   71.1183
   0.134	   68.2868	   71.1232
   0.136	   68.2816	   71.1309
   0.138	   68.2844	   71.1259
   0.140	   68.2929	   71.1276
   0.142	   68.2804	   71.1159
   0.144	   68.2765	   71.1007
   0.146	   68.2810	   71.1101
   0.148	   68.2709	   71.1130
   0.150	   68.2721	   71.1227
   0.152	   68.2839	   71.1189
   0.154	   68.2848	   71.1252
   0.156	   68.2937	   71.1399
   0.158	   68.2930	   71.1539
   0.160	   68.2982	   71.1547
   0.162	   68.3071	   71.1517
   0.164	   68.2894	   71.1369
   0.166	   68.2893	   71.1288
   0.168	   68.2916	   71.1312
   0.170	   68.2783	   71.1396
   0.172	   68.2840	   71.1319
   0.174	   68.2915	   71.1423
   0.176	   68.2942	   71.1497
   0.178	   68.3004	   71.1579
   0.180	   68.3044	   71.1751
   0.182	   68.3103	   71.1821
   0.184	   68.3109	   71.1684
   0.186	   68.3040	   71.1549
   0.188	   68.3031	   71.1544
   0.190	   68.3037	   71.1539
   0.192	   68.2997	   71.1612
   0.194	   68.2907	   71.1430
   0.196	   68.2998	   71.1545
   0.198	   68.3130	   71.1651
   0.200	   68.3140	   71.1854
   0.202	   68.3224	   71.1898
   0.204	   68.3167	   71.1936
   0.206	   68.3187	   71.1921
   0.208	   68.3134	   71.1833
   0.210	   68.3155	   71.1755
   0.212	   68.3208	   71.1715
   0.214	   68.3143	   71.1601
   0.216	   68.2997	   71.1610
   0.218	   68.3023	   71.1714
   0.220	   68.3090	   71.1799
   0.222	   68.3215	   71.1978
   0.224	   68.3265	   71.1955
   0.226	   68.3196	   71.2018
   0.228	   68.3253	   71.2117
   0.230	   68.3317	   71.2048
   0.232	   68.3333	   71.2130
   0.234	   68.3317	   71.1983
   0.236	   68.3275	   71.1875
   0.238	   68.3114	   71.1819
   0.240	   68.3170	   71.1982
   0.242	   68.3218	   71.2061
   0.244	   68.3303	   71.2129
   0.246	   68.3363	   71.2081
   0.248	   68.3323	   71.2143
   0.250	   68.3418	   71.2226
   0.252	   68.3514	   71.2300
   0.254	   68.3542	   71.2320
   0.256	   68.3378	   71.2083
   0.258	   68.3270	   71.1935
   0.260	   68.3315	   71.1977
   0.262	   68.3241	   71.2157
   0.264	   68.3345	   71.2143
   0.266	   68.3415	   71.2218
   0.268	   68.3424	   71.2258
   0.270	   68.3553	   71.2380
   0.272	   68.3569	   71.2478
   0.274	   68.3668	   71.2451
   0.276	   68.3568	   71.2288
   0.278	   68.3425	   71.2201
   0.280	   68.3414	   71.2157
   0.282	   68.3418	   71.2289
   0.284	   68.3271	   71.2365
   0.286	   68.3383	   71.2335
   0.288	   68.3411	   71.2273
   0.290	   68.3523	   71.2442
   0.292	   68.3676	   71.2622
   0.294	   68.3694	   71.2669
   0.296	   68.3680	   71.2710
   0.298	   68.3617	   71.2548
   0.300	   68.3542	   71.2410
   0.302	   68.3493	   71.2478
   0.304	   68.3559	   71.2396
   0.306	   68.3468	   71.2487
   0.308	   68.3425	   71.2515
   0.310	   68.3547	   71.2532
   0.312	   68.3657	   71.2728
   0.314	   68.3745	   71.2751
   0.316	   68.3729	   71.2796
   0.318	   68.3759	   71.2836
   0.320	   68.3780	   71.2833
   0.322	   68.3827	   71.2779
   0.324	   68.3734	   71.2740
   0.326	   68.3671	   71.2638
   0.328	   68.3594	   71.2699
   0.330	   68.3595	   71.2710
   0.332	   68.3633	   71.2807
   0.334	   68.3759	   71.2858
   0.336	   68.3840	   71.2975
   0.338	   68.3777	   71.3005
   0.340	   68.3847	   71.3080
   0.342	   68.3861	   71.3149
   0.344	   68.3911	   71.3149
   0.346	   68.3899	   71.3011
   0.348	   68.3752	   71.2875
   0.350	   68.3757	   71.2717
   0.352	   68.3603	   71.2819
   0.354	   68.3734	   71.2993
   0.356	   68.3812	   71.3035
   0.358	   68.3935	   71.3105
   0.360	   68.3969	   71.3090
   0.362	   68.3818	   71.3187
   0.364	   68.4016	   71.3387
   0.366	   68.4040	   71.3328
   0.368	   68.4016	   71.3309
   0.370	   68.3888	   71.3098
   0.372	   68.3923	   71.3017
   0.374	   68.3838	   71.3079
   0.376	   68.3828	   71.3261
   0.378	   68.3933	   71.3237
   0.380	   68.3975	   71.3254
   0.382	   68.4058	   71.3292
   0.384	   68.4100	   71.3412
   0.386	   68.4190	   71.3535
   0.388	   68.4210	   71.3499
   0.390	   68.4173	   71.3415
   0.392	   68.4146	   71.3249
   0.394	   68.4135	   71.3313
   0.396	   68.4194	   71.3253
   0.398	   68.4089	   71.3404
   0.400	   68.4055	   71.3315
   0.402	   68.4083	   71.3332
   0.404	   68.4220	   71.3446
   0.406	   68.4353	   71.3618
   0.408	   68.4332	   71.3608
   0.410	   68.4388	   71.3591
   0.412	   68.4390	   71.3602
   0.414	   68.4388	   71.3564
   0.416	   68.4357	   71.3532
   0.418	   68.4370	   71.3438
   0.420	   68.4198	   71.3367
   0.422	   68.4127	   71.3367
   0.424	   68.4194	   71.3570
   0.426	   68.4287	   71.3647
   0.428	   68.4316	   71.3699
   0.430	   68.4468	   71.3629
   0.432	   68.4499	   71.3674
   0.434	   68.4511	   71.3746
   0.436	   68.4540	   71.3766
   0.438	   68.4638	   71.3736
   0.440	   68.4562	   71.3671
   0.442	   68.4423	   71.3478
   0.444	   68.4514	   71.3503
   0.446	   68.4431	   71.3674
   0.448	   68.4369	   71.3717
   0.450	   68.4457	   71.3758
   0.452	   68.4493	   71.3698
   0.454	   68.4572	   71.3797
   0.456	   68.4685	   71.3910
   0.458	   68.4736	   71.3927
   0.460	   68.4791	   71.3923
   0.462	   68.4665	   71.3883
   0.464	   68.4581	   71.3738
   0.466	   68.4619	   71.3766
   0.468	   68.4492	   71.3864
   0.470	   68.4472	   71.3901
   0.472	   68.4501	   71.3858
   0.474	   68.4507	   71.3948
   0.476	   68.4647	   71.4111
   0.478	   68.4708	   71.4193
