Time[sec]	 X[micron]	 Y[micron]
   0.000	   51.0013	   55.7140
   0.002	   51.0101	   55.7251
   0.004	   51.0129	   55.7427
   0.006	   51.0122	   55.7402
   0.008	   51.0101	   55.7187
   0.010	   51.0012	   55.7012
   0.012	   50.9999	   55.7028
   0.014	   50.9895	   55.7082
   0.016	   50.9854	   55.7118
   0.018	   50.9853	   55.7051
   0.020	   50.9848	   55.7146
   0.022	   50.9857	   55.7226
   0.024	   50.9790	   55.7176
   0.026	   50.9850	   55.7143
   0.028	   50.9729	   55.7061
   0.030	   50.9654	   55.7016
   0.032	   50.9508	   55.7135
   0.034	   50.9610	   55.7235
   0.036	   50.9595	   55.7182
   0.038	   50.9685	   55.7184
   0.040	   50.9608	   55.7171
   0.042	   50.9518	   55.7159
   0.044	   50.9448	   55.7118
   0.046	   50.9448	   55.7144
   0.048	   50.9375	   55.7041
   0.050	   50.9422	   55.6989
   0.052	   50.9350	   55.6941
   0.054	   50.9388	   55.7005
   0.056	   50.9437	   55.7123
   0.058	   50.9433	   55.7160
   0.060	   50.9336	   55.7279
   0.062	   50.9391	   55.7319
   0.064	   50.9397	   55.7164
   0.066	   50.9396	   55.7055
   0.068	   50.9263	   55.6860
   0.070	   50.9272	   55.6810
   0.072	   50.9022	   55.6862
   0.074	   50.9067	   55.7018
   0.076	   50.9184	   55.7137
   0.078	   50.9222	   55.7095
   0.080	   50.9148	   55.6961
   0.082	   50.9150	   55.6941
   0.084	   50.9063	   55.7008
   0.086	   50.9059	   55.7115
   0.088	   50.8880	   55.7046
   0.090	   50.8915	   55.6894
   0.092	   50.8848	   55.6860
   0.094	   50.8845	   55.6845
   0.096	   50.8889	   55.7019
   0.098	   50.8908	   55.7063
   0.100	   50.8836	   55.7098
   0.102	   50.8741	   55.7067
   0.104	   50.8850	   55.7071
   0.106	   50.8857	   55.6944
   0.108	   50.8909	   55.6848
   0.110	   50.8688	   55.6873
   0.112	   50.8616	   55.6834
   0.114	   50.8469	   55.6876
   0.116	   50.8593	   55.6954
   0.118	   50.8530	   55.6952
   0.120	   50.8673	   55.6938
   0.122	   50.8558	   55.6851
   0.124	   50.8668	   55.6917
   0.126	   50.8550	   55.6970
   0.128	   50.8485	   55.6938
   0.130	   50.8399	   55.6874
   0.132	   50.8446	   55.6780
   0.134	   50.8426	   55.6709
   0.136	   50.8524	   55.6768
   0.138	   50.8489	   55.6963
   0.140	   50.8495	   55.7005
   0.142	   50.8331	   55.7067
   0.144	   50.8384	   55.7075
   0.146	   50.8375	   55.6970
   0.148	   50.8437	   55.6884
   0.150	   50.8267	   55.6803
   0.152	   50.8228	   55.6804
   0.154	   50.8133	   55.6858
   0.156	   50.8232	   55.6910
   0.158	   50.8198	   55.7068
   0.160	   50.8183	   55.7056
   0.162	   50.8157	   55.6990
   0.164	   50.8177	   55.6958
   0.166	   50.8133	   55.7013
   0.168	   50.8126	   55.7042
   0.170	   50.8048	   55.6985
   0.172	   50.7995	   55.6946
   0.174	   50.7977	   55.6915
   0.176	   50.7983	   55.6858
   0.178	   50.8119	   55.6848
   0.180	   50.8005	   55.6973
   0.182	   50.8024	   55.7146
   0.184	   50.7906	   55.7086
   0.186	   50.7903	   55.7066
   0.188	   50.7876	   55.6901
   0.190	   50.7957	   55.6868
   0.192	   50.7796	   55.6790
   0.194	   50.7816	   55.6807
   0.196	   50.7655	   55.6819
   0.198	   50.7695	   55.6901
   0.200	   50.7735	   55.7065
   0.202	   50.7813	   55.7109
   0.204	   50.7673	   55.7068
   0.206	   50.7766	   55.6932
   0.208	   50.7786	   55.6943
   0.210	   50.7657	   55.6987
   0.212	   50.7589	   55.6940
   0.214	   50.7527	   55.6880
   0.216	   50.7509	   55.6774
   0.218	   50.7638	   55.6767
   0.220	   50.7686	   55.6886
   0.222	   50.7617	   55.6955
   0.224	   50.7609	   55.7070
   0.226	   50.7507	   55.7017
   0.228	   50.7447	   55.6976
   0.230	   50.7470	   55.6928
   0.232	   50.7545	   55.6945
   0.234	   50.7450	   55.6711
   0.236	   50.7310	   55.6848
   0.238	   50.7382	   55.6796
   0.240	   50.7395	   55.6940
   0.242	   50.7356	   55.7088
   0.244	   50.7339	   55.6995
   0.246	   50.7392	   55.6858
   0.248	   50.7301	   55.6622
   0.250	   50.7197	   55.6707
   0.252	   50.7108	   55.6698
   0.254	   50.7043	   55.6754
   0.256	   50.7113	   55.6732
   0.258	   50.7177	   55.6684
   0.260	   50.7153	   55.6701
   0.262	   50.7297	   55.6865
   0.264	   50.7158	   55.6904
   0.266	   50.7171	   55.6787
   0.268	   50.7020	   55.6720
   0.270	   50.6916	   55.6690
   0.272	   50.6904	   55.6630
   0.274	   50.6963	   55.6649
   0.276	   50.6923	   55.6477
   0.278	   50.6967	   55.6464
   0.280	   50.6866	   55.6615
   0.282	   50.6894	   55.6843
   0.284	   50.6798	   55.6912
   0.286	   50.6837	   55.6694
   0.288	   50.6832	   55.6536
   0.290	   50.6819	   55.6404
   0.292	   50.6732	   55.6593
   0.294	   50.6690	   55.6649
   0.296	   50.6713	   55.6624
   0.298	   50.6672	   55.6623
   0.300	   50.6682	   55.6709
   0.302	   50.6725	   55.6819
   0.304	   50.6725	   55.6822
   0.306	   50.6689	   55.6811
   0.308	   50.6529	   55.6551
   0.310	   50.6379	   55.6404
   0.312	   50.6300	   55.6570
   0.314	   50.6363	   55.6493
   0.316	   50.6503	   55.6499
   0.318	   50.6429	   55.6451
   0.320	   50.6402	   55.6438
   0.322	   50.6328	   55.6643
   0.324	   50.6406	   55.6850
   0.326	   50.6337	   55.6831
   0.328	   50.6355	   55.6598
   0.330	   50.6378	   55.6287
   0.332	   50.6260	   55.6294
   0.334	   50.6245	   55.6502
   0.336	   50.6221	   55.6563
   0.338	   50.6188	   55.6403
   0.340	   50.5994	   55.6314
   0.342	   50.6059	   55.6472
   0.344	   50.6151	   55.6555
   0.346	   50.6221	   55.6575
   0.348	   50.6206	   55.6455
   0.350	   50.6096	   55.6235
   0.352	   50.5899	   55.6128
   0.354	   50.5879	   55.6270
   0.356	   50.5837	   55.6349
   0.358	   50.5921	   55.6346
   0.360	   50.5841	   55.6117
   0.362	   50.5868	   55.6127
   0.364	   50.5863	   55.6222
   0.366	   50.5768	   55.6491
   0.368	   50.5826	   55.6540
   0.370	   50.5784	   55.6318
   0.372	   50.5720	   55.6193
   0.374	   50.5773	   55.6102
   0.376	   50.5829	   55.6124
