Time[sec]	 X[micron]	 Y[micron]
   0.000	   73.9794	   65.9909
   0.002	   73.9908	   65.9953
   0.004	   74.0139	   65.9952
   0.006	   74.0208	   65.9844
   0.008	   74.0298	   65.9825
   0.010	   73.9973	   65.9902
   0.012	   73.9685	   65.9921
   0.014	   73.9538	   65.9877
   0.016	   73.9442	   65.9932
   0.018	   73.9455	   65.9931
   0.020	   73.9606	   65.9977
   0.022	   73.9808	   65.9999
   0.024	   73.9893	   65.9973
   0.026	   73.9726	   66.0061
   0.028	   73.9465	   66.0025
   0.030	   73.9243	   65.9964
   0.032	   73.9108	   66.0031
   0.034	   73.8983	   66.0074
   0.036	   73.8995	   66.0038
   0.038	   73.9303	   66.0083
   0.040	   73.9406	   66.0031
   0.042	   73.9374	   65.9922
   0.044	   73.9339	   65.9939
   0.046	   73.9108	   65.9994
   0.048	   73.8836	   66.0075
   0.050	   73.8664	   66.0118
   0.052	   73.8517	   66.0041
   0.054	   73.8601	   66.0017
   0.056	   73.8850	   66.0107
   0.058	   73.8932	   66.0164
   0.060	   73.9056	   66.0145
   0.062	   73.8837	   66.0239
   0.064	   73.8475	   66.0151
   0.066	   73.8259	   66.0121
   0.068	   73.8211	   66.0158
   0.070	   73.8262	   66.0299
   0.072	   73.8542	   66.0303
   0.074	   73.8529	   66.0257
   0.076	   73.8623	   66.0235
   0.078	   73.8422	   66.0211
   0.080	   73.8083	   66.0266
   0.082	   73.7910	   66.0241
   0.084	   73.7739	   66.0147
   0.086	   73.7801	   66.0237
   0.088	   73.7969	   66.0289
   0.090	   73.8131	   66.0331
   0.092	   73.8314	   66.0260
   0.094	   73.8230	   66.0268
   0.096	   73.7800	   66.0295
   0.098	   73.7687	   66.0264
   0.100	   73.7544	   66.0353
   0.102	   73.7427	   66.0263
   0.104	   73.7503	   66.0222
   0.106	   73.7675	   66.0267
   0.108	   73.7899	   66.0373
   0.110	   73.7816	   66.0397
   0.112	   73.7628	   66.0407
   0.114	   73.7355	   66.0313
   0.116	   73.6985	   66.0275
   0.118	   73.6914	   66.0296
   0.120	   73.6971	   66.0409
   0.122	   73.7209	   66.0487
   0.124	   73.7261	   66.0571
   0.126	   73.7387	   66.0374
   0.128	   73.7372	   66.0413
   0.130	   73.7025	   66.0485
   0.132	   73.6783	   66.0480
   0.134	   73.6679	   66.0549
   0.136	   73.6589	   66.0490
   0.138	   73.6592	   66.0538
   0.140	   73.6880	   66.0620
   0.142	   73.7030	   66.0605
   0.144	   73.7134	   66.0553
   0.146	   73.6901	   66.0565
   0.148	   73.6614	   66.0529
   0.150	   73.6406	   66.0513
   0.152	   73.6252	   66.0619
   0.154	   73.6272	   66.0596
   0.156	   73.6521	   66.0600
   0.158	   73.6724	   66.0556
   0.160	   73.6653	   66.0586
   0.162	   73.6529	   66.0653
   0.164	   73.6312	   66.0661
   0.166	   73.6079	   66.0609
   0.168	   73.5899	   66.0586
   0.170	   73.5864	   66.0559
   0.172	   73.5921	   66.0667
   0.174	   73.6243	   66.0744
   0.176	   73.6160	   66.0680
   0.178	   73.6288	   66.0616
   0.180	   73.6074	   66.0615
   0.182	   73.5917	   66.0694
   0.184	   73.5597	   66.0745
   0.186	   73.5464	   66.0734
   0.188	   73.5441	   66.0744
   0.190	   73.5603	   66.0794
   0.192	   73.5798	   66.0757
   0.194	   73.5977	   66.0785
   0.196	   73.5866	   66.0841
   0.198	   73.5555	   66.0803
   0.200	   73.5245	   66.0879
   0.202	   73.5133	   66.0885
   0.204	   73.5144	   66.0963
   0.206	   73.5055	   66.0975
   0.208	   73.5175	   66.0988
   0.210	   73.5303	   66.0955
   0.212	   73.5503	   66.0888
   0.214	   73.5399	   66.0905
   0.216	   73.5250	   66.1007
   0.218	   73.4778	   66.1041
   0.220	   73.4705	   66.1041
   0.222	   73.4632	   66.1081
   0.224	   73.4809	   66.1111
   0.226	   73.4994	   66.1017
   0.228	   73.5078	   66.1016
   0.230	   73.4944	   66.1075
   0.232	   73.4744	   66.1119
   0.234	   73.4547	   66.1167
   0.236	   73.4293	   66.1222
   0.238	   73.4255	   66.1205
   0.240	   73.4159	   66.1223
   0.242	   73.4355	   66.1209
   0.244	   73.4452	   66.1305
   0.246	   73.4602	   66.1232
   0.248	   73.4653	   66.1199
   0.250	   73.4317	   66.1147
   0.252	   73.4112	   66.1272
   0.254	   73.3917	   66.1345
   0.256	   73.3769	   66.1391
   0.258	   73.3924	   66.1381
   0.260	   73.4095	   66.1287
