Time[sec]	 X[micron]	 Y[micron]
   0.000	  104.5134	   80.5644
   0.002	  104.4841	   80.5820
   0.004	  104.4951	   80.5813
   0.006	  104.5669	   80.5580
   0.008	  104.6524	   80.5437
   0.010	  104.7036	   80.5306
   0.012	  104.6968	   80.5354
   0.014	  104.6772	   80.5270
   0.016	  104.6615	   80.5293
   0.018	  104.6422	   80.5369
   0.020	  104.6313	   80.5588
   0.022	  104.6783	   80.5396
   0.024	  104.7771	   80.5021
   0.026	  104.8557	   80.4761
   0.028	  104.8441	   80.4923
   0.030	  104.7972	   80.5288
   0.032	  104.7608	   80.5399
   0.034	  104.7601	   80.4910
   0.036	  104.8061	   80.4499
   0.038	  104.8592	   80.4546
   0.040	  104.9274	   80.4692
   0.042	  104.9581	   80.4807
   0.044	  104.9671	   80.4731
   0.046	  104.9470	   80.4639
   0.048	  104.9166	   80.4638
   0.050	  104.9006	   80.4480
   0.052	  104.9073	   80.4065
   0.054	  104.9682	   80.3924
   0.056	  105.0145	   80.4059
   0.058	  105.0415	   80.4348
   0.060	  105.0433	   80.4605
   0.062	  105.0501	   80.4743
   0.064	  105.0562	   80.4268
   0.066	  105.0601	   80.4032
   0.068	  105.0591	   80.3744
   0.070	  105.0605	   80.3701
   0.072	  105.0709	   80.3732
   0.074	  105.1267	   80.3942
   0.076	  105.1507	   80.4257
   0.078	  105.1664	   80.4269
   0.080	  105.1619	   80.4091
   0.082	  105.1873	   80.3713
   0.084	  105.2038	   80.3347
   0.086	  105.2008	   80.3251
   0.088	  105.1680	   80.3688
   0.090	  105.1780	   80.4236
   0.092	  105.2278	   80.4316
   0.094	  105.2926	   80.3908
   0.096	  105.3220	   80.3428
   0.098	  105.3115	   80.3350
   0.100	  105.3022	   80.3245
   0.102	  105.3071	   80.3085
   0.104	  105.3032	   80.3145
   0.106	  105.3233	   80.3544
   0.108	  105.3469	   80.3929
   0.110	  105.3746	   80.3765
   0.112	  105.4070	   80.3167
   0.114	  105.4150	   80.2881
   0.116	  105.4186	   80.2690
   0.118	  105.3899	   80.2758
   0.120	  105.3968	   80.3087
   0.122	  105.4351	   80.3198
   0.124	  105.4849	   80.3029
   0.126	  105.5031	   80.2783
   0.128	  105.5118	   80.2618
   0.130	  105.5350	   80.2152
   0.132	  105.5463	   80.1886
   0.134	  105.5146	   80.2011
   0.136	  105.5175	   80.2599
   0.138	  105.5384	   80.2954
   0.140	  105.5951	   80.2603
   0.142	  105.6553	   80.2032
   0.144	  105.6810	   80.1734
   0.146	  105.6688	   80.1730
   0.148	  105.6486	   80.1741
   0.150	  105.6319	   80.1833
   0.152	  105.6612	   80.1881
   0.154	  105.6897	   80.2195
   0.156	  105.7143	   80.2143
   0.158	  105.7551	   80.1734
   0.160	  105.7950	   80.1206
   0.162	  105.8252	   80.0871
   0.164	  105.7981	   80.0788
   0.166	  105.7463	   80.1137
   0.168	  105.7419	   80.1612
   0.170	  105.7875	   80.1576
   0.172	  105.8408	   80.1020
   0.174	  105.8862	   80.0758
   0.176	  105.8883	   80.0598
   0.178	  105.8926	   80.0277
   0.180	  105.8895	   79.9990
   0.182	  105.8789	   80.0125
   0.184	  105.8758	   80.0552
   0.186	  105.8893	   80.0777
   0.188	  105.9446	   80.0311
   0.190	  105.9992	   79.9752
   0.192	  106.0194	   79.9317
   0.194	  106.0020	   79.9425
   0.196	  105.9595	   79.9755
   0.198	  105.9629	   79.9902
   0.200	  105.9975	   79.9995
   0.202	  106.0424	   79.9624
   0.204	  106.0916	   79.9247
   0.206	  106.0992	   79.8954
   0.208	  106.1124	   79.8707
   0.210	  106.1135	   79.8596
   0.212	  106.0777	   79.8779
   0.214	  106.0689	   79.9128
   0.216	  106.0910	   79.9280
   0.218	  106.1534	   79.8913
   0.220	  106.2134	   79.8228
   0.222	  106.2348	   79.7860
   0.224	  106.2228	   79.7801
   0.226	  106.1904	   79.7806
   0.228	  106.1709	   79.7839
   0.230	  106.1872	   79.8091
   0.232	  106.2131	   79.8407
   0.234	  106.2358	   79.8230
   0.236	  106.2873	   79.7413
   0.238	  106.3332	   79.6629
   0.240	  106.3542	   79.6397
   0.242	  106.3075	   79.6723
   0.244	  106.2661	   79.7125
   0.246	  106.2582	   79.7428
   0.248	  106.3132	   79.7180
   0.250	  106.3655	   79.6388
   0.252	  106.4062	   79.6018
   0.254	  106.4059	   79.5836
   0.256	  106.3977	   79.5697
   0.258	  106.3898	   79.5595
   0.260	  106.3657	   79.5639
   0.262	  106.3650	   79.6184
   0.264	  106.3836	   79.6252
   0.266	  106.4346	   79.5836
   0.268	  106.5155	   79.4959
   0.270	  106.5267	   79.4513
   0.272	  106.4987	   79.4501
   0.274	  106.4585	   79.4617
   0.276	  106.4545	   79.4655
   0.278	  106.4972	   79.4809
   0.280	  106.5304	   79.4840
   0.282	  106.5383	   79.4659
   0.284	  106.5443	   79.4054
   0.286	  106.5623	   79.3504
   0.288	  106.5758	   79.3035
   0.290	  106.5472	   79.3201
   0.292	  106.5184	   79.3874
   0.294	  106.5456	   79.4046
   0.296	  106.6033	   79.3811
   0.298	  106.6422	   79.3053
   0.300	  106.6553	   79.2608
   0.302	  106.6330	   79.2351
   0.304	  106.6181	   79.2329
   0.306	  106.6111	   79.2215
   0.308	  106.6087	   79.2380
   0.310	  106.6199	   79.2872
   0.312	  106.6378	   79.2983
   0.314	  106.6735	   79.2392
   0.316	  106.6995	   79.1422
   0.318	  106.7136	   79.0957
   0.320	  106.6926	   79.0961
   0.322	  106.6455	   79.1399
   0.324	  106.6498	   79.1621
   0.326	  106.6925	   79.1658
   0.328	  106.7268	   79.1373
   0.330	  106.7482	   79.0912
   0.332	  106.7586	   79.0376
   0.334	  106.7621	   78.9933
   0.336	  106.7719	   78.9793
   0.338	  106.7411	   79.0010
   0.340	  106.7311	   79.0539
   0.342	  106.7586	   79.0875
   0.344	  106.7934	   79.0302
   0.346	  106.8239	   78.9484
   0.348	  106.8459	   78.8840
   0.350	  106.8274	   78.8829
   0.352	  106.8083	   78.9052
   0.354	  106.7948	   78.9141
   0.356	  106.8294	   78.9190
   0.358	  106.8551	   78.9201
   0.360	  106.8622	   78.8963
   0.362	  106.8830	   78.8416
   0.364	  106.8978	   78.7745
   0.366	  106.9068	   78.7484
   0.368	  106.8770	   78.7675
   0.370	  106.8372	   78.8190
   0.372	  106.8600	   78.8486
   0.374	  106.8988	   78.8273
   0.376	  106.9308	   78.7697
   0.378	  106.9314	   78.6948
   0.380	  106.9286	   78.6595
   0.382	  106.9199	   78.6514
   0.384	  106.9154	   78.6532
   0.386	  106.9067	   78.6733
   0.388	  106.8994	   78.7115
   0.390	  106.8987	   78.7314
   0.392	  106.9310	   78.6643
   0.394	  106.9698	   78.5594
   0.396	  106.9716	   78.5106
   0.398	  106.9494	   78.4998
   0.400	  106.9200	   78.5388
   0.402	  106.9059	   78.5550
   0.404	  106.9530	   78.5587
   0.406	  106.9742	   78.5622
   0.408	  106.9736	   78.5329
   0.410	  106.9610	   78.4881
   0.412	  106.9686	   78.4168
   0.414	  106.9757	   78.3721
   0.416	  106.9736	   78.3750
   0.418	  106.9417	   78.4187
   0.420	  106.9332	   78.4506
   0.422	  106.9772	   78.4436
   0.424	  107.0198	   78.4069
   0.426	  107.0284	   78.3191
   0.428	  107.0096	   78.2765
   0.430	  106.9987	   78.2528
   0.432	  107.0003	   78.2585
   0.434	  106.9960	   78.2854
   0.436	  106.9995	   78.3261
   0.438	  107.0128	   78.3295
   0.440	  107.0204	   78.2767
   0.442	  107.0455	   78.1743
   0.444	  107.0484	   78.1156
   0.446	  107.0252	   78.1202
   0.448	  107.0025	   78.1659
   0.450	  106.9902	   78.1763
   0.452	  107.0072	   78.1789
   0.454	  107.0252	   78.1686
   0.456	  107.0225	   78.1332
